"[0.5785, 0.7991]","[0.4459, 0.7909]","[0.3122, 0.7095]","[0.2797, 0.6183]","[0.3713, 0.5954]","[0.3902, 0.4268]","[0.3342, 0.2419]","[0.2964, 0.1046]","[0.2703, -0.0105]","[0.5228, 0.4129]","[0.492, 0.3411]","[0.4799, 0.5128]","[0.4792, 0.6339]","[0.6471, 0.4505]","[0.6266, 0.4142]","[0.5881, 0.5754]","[0.5624, 0.6807]","[0.7587, 0.5201]","[0.7407, 0.4952]","[0.6918, 0.6102]","[0.6561, 0.6852]"
"[0.6002, 0.8241]","[0.4515, 0.7993]","[0.3118, 0.7044]","[0.2901, 0.6054]","[0.396, 0.5943]","[0.3983, 0.4117]","[0.3315, 0.2035]","[0.2975, 0.0651]","[0.2754, -0.0516]","[0.5358, 0.397]","[0.5073, 0.3374]","[0.4927, 0.5074]","[0.4824, 0.6329]","[0.6603, 0.4322]","[0.6375, 0.4259]","[0.5939, 0.577]","[0.5587, 0.6783]","[0.768, 0.4993]","[0.7435, 0.5065]","[0.6895, 0.6131]","[0.6503, 0.678]"
"[0.61, 0.8393]","[0.4565, 0.7955]","[0.315, 0.7054]","[0.2878, 0.6109]","[0.4023, 0.586]","[0.3965, 0.4075]","[0.3338, 0.2078]","[0.2988, 0.0818]","[0.2744, -0.0219]","[0.535, 0.3982]","[0.5012, 0.3361]","[0.4868, 0.4992]","[0.4749, 0.6266]","[0.6586, 0.4326]","[0.6294, 0.4245]","[0.5895, 0.5744]","[0.5531, 0.6808]","[0.7662, 0.4963]","[0.7393, 0.4991]","[0.6883, 0.6054]","[0.6477, 0.678]"
"[0.6109, 0.8401]","[0.4554, 0.7936]","[0.3089, 0.6944]","[0.2852, 0.5967]","[0.401, 0.5794]","[0.4005, 0.402]","[0.3335, 0.2064]","[0.296, 0.0832]","[0.273, -0.0163]","[0.5371, 0.3966]","[0.5019, 0.331]","[0.4838, 0.4952]","[0.4749, 0.6259]","[0.6597, 0.4323]","[0.6326, 0.4189]","[0.5909, 0.5695]","[0.5575, 0.6776]","[0.7678, 0.4958]","[0.7418, 0.4944]","[0.6902, 0.6002]","[0.6527, 0.6729]"
"[0.6133, 0.8418]","[0.4598, 0.7936]","[0.3173, 0.7]","[0.2884, 0.6058]","[0.3974, 0.5756]","[0.4042, 0.4021]","[0.3364, 0.2057]","[0.2995, 0.0823]","[0.2763, -0.018]","[0.5402, 0.3972]","[0.5035, 0.3316]","[0.4858, 0.4958]","[0.4772, 0.6263]","[0.663, 0.433]","[0.6334, 0.4203]","[0.5926, 0.5708]","[0.5602, 0.6791]","[0.7719, 0.4968]","[0.7422, 0.4982]","[0.69, 0.6048]","[0.6525, 0.678]"
"[0.6135, 0.8418]","[0.4582, 0.7947]","[0.3145, 0.7002]","[0.2918, 0.6086]","[0.4069, 0.586]","[0.4027, 0.405]","[0.3364, 0.2069]","[0.3001, 0.0834]","[0.2765, -0.0166]","[0.5397, 0.3994]","[0.5052, 0.3376]","[0.4872, 0.5024]","[0.4774, 0.6318]","[0.6625, 0.4342]","[0.6344, 0.4206]","[0.5935, 0.5699]","[0.5602, 0.676]","[0.7708, 0.4965]","[0.7448, 0.4941]","[0.6929, 0.5983]","[0.6553, 0.6681]"
"[0.614, 0.8408]","[0.4603, 0.7995]","[0.3171, 0.7081]","[0.2944, 0.6158]","[0.4092, 0.5898]","[0.4013, 0.4067]","[0.3339, 0.2017]","[0.2996, 0.0746]","[0.2768, -0.029]","[0.5391, 0.3998]","[0.505, 0.3439]","[0.49, 0.5095]","[0.4811, 0.6394]","[0.6625, 0.4334]","[0.6323, 0.4266]","[0.593, 0.5752]","[0.5599, 0.6811]","[0.7711, 0.4943]","[0.7424, 0.497]","[0.6919, 0.6029]","[0.6545, 0.6748]"
"[0.6168, 0.8425]","[0.4628, 0.8014]","[0.3216, 0.7153]","[0.2931, 0.6229]","[0.4054, 0.5888]","[0.4046, 0.4085]","[0.3348, 0.199]","[0.2977, 0.066]","[0.274, -0.0414]","[0.5421, 0.4037]","[0.5096, 0.3417]","[0.4941, 0.5059]","[0.4857, 0.635]","[0.6653, 0.4383]","[0.6348, 0.4264]","[0.5965, 0.5716]","[0.5651, 0.6749]","[0.7748, 0.4996]","[0.7478, 0.4928]","[0.6982, 0.5947]","[0.661, 0.6643]"
"[0.6129, 0.85]","[0.4578, 0.7972]","[0.3217, 0.7004]","[0.308, 0.6068]","[0.4209, 0.5813]","[0.4136, 0.4109]","[0.3538, 0.206]","[0.3232, 0.0799]","[0.3047, -0.0233]","[0.5497, 0.412]","[0.5223, 0.3404]","[0.5028, 0.5049]","[0.4915, 0.6357]","[0.6713, 0.4494]","[0.6509, 0.4222]","[0.6089, 0.57]","[0.5747, 0.6768]","[0.7796, 0.5121]","[0.7625, 0.4974]","[0.71, 0.6001]","[0.6691, 0.6721]"
"[0.6181, 0.8435]","[0.4653, 0.7898]","[0.333, 0.6908]","[0.3229, 0.6017]","[0.4287, 0.5772]","[0.4314, 0.4045]","[0.3692, 0.193]","[0.3411, 0.0643]","[0.3259, -0.0428]","[0.5658, 0.4137]","[0.5403, 0.3362]","[0.5203, 0.5016]","[0.5117, 0.632]","[0.6854, 0.457]","[0.6681, 0.4204]","[0.6252, 0.5725]","[0.5923, 0.6817]","[0.7919, 0.5239]","[0.7791, 0.4953]","[0.7282, 0.5967]","[0.6895, 0.668]"
"[0.6289, 0.8467]","[0.4818, 0.7874]","[0.3505, 0.6851]","[0.3517, 0.5934]","[0.4707, 0.5802]","[0.4593, 0.4033]","[0.4097, 0.1955]","[0.3868, 0.073]","[0.3735, -0.0285]","[0.5915, 0.4159]","[0.5845, 0.3358]","[0.563, 0.4951]","[0.5493, 0.62]","[0.7077, 0.4611]","[0.7067, 0.4254]","[0.663, 0.5682]","[0.6298, 0.6695]","[0.8105, 0.5284]","[0.8166, 0.4916]","[0.7702, 0.5831]","[0.7352, 0.6481]"
