[0.5697, 0.7987],[0.4633, 0.802],[0.3417, 0.7306],[0.3486, 0.6669],[0.4423, 0.6378],[0.394, 0.4307],[0.3008, 0.2514],[0.2304, 0.1113],[0.1745, -0.0045],[0.5308, 0.4191],[0.5031, 0.2729],[0.4663, 0.4351],[0.46, 0.5321],[0.6558, 0.472],[0.637, 0.3752],[0.5758, 0.5226],[0.5627, 0.5985],[0.7645, 0.5625],[0.7422, 0.4792],[0.6767, 0.5808],[0.6551, 0.6404]
[0.6027, 0.8296],[0.4627, 0.809],[0.3316, 0.7228],[0.3438, 0.6506],[0.4426, 0.6285],[0.4014, 0.4197],[0.2991, 0.2205],[0.2268, 0.0769],[0.1703, -0.0456],[0.5388, 0.4197],[0.5174, 0.2715],[0.4741, 0.4458],[0.4638, 0.5465],[0.6616, 0.4761],[0.6458, 0.3788],[0.5786, 0.536],[0.5631, 0.6193],[0.7712, 0.566],[0.7496, 0.4791],[0.6775, 0.581],[0.6504, 0.6413]
[0.6124, 0.8549],[0.4665, 0.8177],[0.3306, 0.7264],[0.3418, 0.6508],[0.4442, 0.618],[0.401, 0.4106],[0.2921, 0.2159],[0.2175, 0.082],[0.167, -0.0349],[0.5392, 0.4104],[0.5145, 0.266],[0.4757, 0.4456],[0.4691, 0.5456],[0.6655, 0.4648],[0.6444, 0.374],[0.5781, 0.5412],[0.5583, 0.6251],[0.78, 0.5519],[0.7438, 0.4861],[0.6695, 0.597],[0.636, 0.654]
[0.6192, 0.8711],[0.466, 0.8251],[0.3368, 0.7301],[0.3539, 0.6555],[0.4513, 0.6166],[0.4022, 0.4084],[0.2934, 0.218],[0.2225, 0.0944],[0.1744, -0.0147],[0.541, 0.4083],[0.5151, 0.2637],[0.4803, 0.4412],[0.4718, 0.5471],[0.6655, 0.4616],[0.6428, 0.373],[0.5781, 0.5391],[0.5547, 0.6294],[0.7761, 0.5484],[0.7374, 0.4807],[0.6637, 0.5871],[0.6275, 0.6476]
[0.6209, 0.8682],[0.4684, 0.8249],[0.3411, 0.7374],[0.3446, 0.6661],[0.429, 0.6118],[0.4001, 0.4032],[0.2798, 0.1957],[0.2061, 0.0563],[0.1589, -0.0664],[0.5376, 0.406],[0.513, 0.2605],[0.4761, 0.4351],[0.4665, 0.5452],[0.6607, 0.4626],[0.6396, 0.3747],[0.571, 0.5366],[0.5446, 0.6284],[0.7703, 0.5521],[0.7347, 0.4818],[0.658, 0.5883],[0.6184, 0.6527]
[0.629, 0.8804],[0.4715, 0.8281],[0.3416, 0.7357],[0.3521, 0.6633],[0.4495, 0.6186],[0.4093, 0.4136],[0.3072, 0.2233],[0.2413, 0.1101],[0.1966, 0.0059],[0.5472, 0.4163],[0.5272, 0.2641],[0.4888, 0.4311],[0.4737, 0.5429],[0.671, 0.47],[0.6469, 0.3774],[0.5827, 0.5431],[0.5584, 0.6384],[0.7825, 0.5549],[0.7414, 0.4853],[0.6715, 0.5891],[0.6394, 0.6525]
[0.6272, 0.8623],[0.4859, 0.8192],[0.3582, 0.7223],[0.375, 0.6397],[0.4694, 0.6],[0.4258, 0.3948],[0.3157, 0.1805],[0.2516, 0.0461],[0.2109, -0.0681],[0.5618, 0.4049],[0.5507, 0.2554],[0.5139, 0.4145],[0.5016, 0.5209],[0.6827, 0.4642],[0.6679, 0.3836],[0.6054, 0.5374],[0.5851, 0.6209],[0.79, 0.5524],[0.7589, 0.4846],[0.6935, 0.5845],[0.6667, 0.6397]
[0.6489, 0.8742],[0.5006, 0.8219],[0.3831, 0.719],[0.4176, 0.6464],[0.5174, 0.6115],[0.4475, 0.3941],[0.354, 0.19],[0.295, 0.0684],[0.2588, -0.0398],[0.584, 0.4085],[0.585, 0.2534],[0.5481, 0.4144],[0.5343, 0.5188],[0.7055, 0.4688],[0.7048, 0.3763],[0.6431, 0.5303],[0.6197, 0.6082],[0.815, 0.5567],[0.7979, 0.4851],[0.7339, 0.5876],[0.7054, 0.6402]
[0.6462, 0.8735],[0.503, 0.8171],[0.3913, 0.7102],[0.4366, 0.6355],[0.5456, 0.6102],[0.4711, 0.393],[0.3879, 0.1834],[0.3357, 0.0603],[0.3042, -0.048],[0.6055, 0.4124],[0.6055, 0.2534],[0.563, 0.4108],[0.5448, 0.522],[0.7226, 0.4765],[0.7223, 0.3804],[0.6595, 0.5343],[0.6349, 0.6233],[0.8284, 0.567],[0.8138, 0.4887],[0.7499, 0.5849],[0.7192, 0.642]
[0.6561, 0.8693],[0.5142, 0.8113],[0.4061, 0.7046],[0.4559, 0.6273],[0.5672, 0.6034],[0.4857, 0.3881],[0.414, 0.175],[0.3746, 0.0473],[0.3533, -0.0621],[0.62, 0.4084],[0.6371, 0.2442],[0.5996, 0.3938],[0.5752, 0.4995],[0.7368, 0.4732],[0.7508, 0.3773],[0.6871, 0.5232],[0.6513, 0.6061],[0.8403, 0.5649],[0.8372, 0.4876],[0.7751, 0.5771],[0.7368, 0.6293]
[0.6626, 0.8717],[0.5221, 0.811],[0.4185, 0.6959],[0.4756, 0.619],[0.5939, 0.5975],[0.5026, 0.3833],[0.441, 0.1635],[0.4168, 0.0301],[0.4071, -0.0808],[0.6355, 0.4091],[0.6621, 0.2365],[0.6247, 0.3842],[0.5937, 0.4905],[0.7504, 0.4756],[0.7709, 0.3765],[0.7091, 0.5285],[0.6684, 0.6143],[0.8537, 0.5673],[0.8561, 0.4872],[0.7976, 0.585],[0.7583, 0.6417]
[0.6662, 0.8816],[0.527, 0.8155],[0.4263, 0.6938],[0.4867, 0.6178],[0.6022, 0.5933],[0.5116, 0.3812],[0.4624, 0.1554],[0.4484, 0.0221],[0.4455, -0.0916],[0.6463, 0.4091],[0.677, 0.2349],[0.6377, 0.3847],[0.6022, 0.4912],[0.7615, 0.4758],[0.7835, 0.3734],[0.7231, 0.5284],[0.6804, 0.6174],[0.8633, 0.5676],[0.87, 0.4822],[0.8122, 0.5801],[0.7705, 0.6396]
[0.6698, 0.8862],[0.5316, 0.8145],[0.4383, 0.7009],[0.4958, 0.6322],[0.6044, 0.5988],[0.5294, 0.3879],[0.5008, 0.1656],[0.4913, 0.0369],[0.4907, -0.0799],[0.6629, 0.4162],[0.6969, 0.2406],[0.6541, 0.3843],[0.6168, 0.4872],[0.7759, 0.4837],[0.8033, 0.3782],[0.74, 0.5299],[0.6952, 0.6171],[0.8749, 0.5771],[0.8915, 0.4954],[0.8292, 0.5898],[0.7812, 0.6477]
[0.6793, 0.8827],[0.5441, 0.8147],[0.4498, 0.7083],[0.4981, 0.6388],[0.6007, 0.6035],[0.5386, 0.3953],[0.5249, 0.1748],[0.5231, 0.0468],[0.5287, -0.0709],[0.6759, 0.4189],[0.7114, 0.2443],[0.6673, 0.3872],[0.6298, 0.4882],[0.7912, 0.4825],[0.8165, 0.3825],[0.7501, 0.5303],[0.7023, 0.6139],[0.8898, 0.573],[0.9039, 0.4914],[0.841, 0.5856],[0.7925, 0.643]
