"[0.4255, 0.819]","[0.5612, 0.8057]","[0.6844, 0.7188]","[0.7253, 0.6273]","[0.6434, 0.5964]","[0.6104, 0.408]","[0.6735, 0.2272]","[0.7187, 0.0833]","[0.7414, -0.0341]","[0.476, 0.4025]","[0.4995, 0.3434]","[0.5207, 0.5168]","[0.5275, 0.634]","[0.3504, 0.4397]","[0.3769, 0.425]","[0.4314, 0.5781]","[0.4509, 0.6747]","[0.2345, 0.5062]","[0.2684, 0.4943]","[0.3268, 0.6056]","[0.3547, 0.6734]"
"[0.4031, 0.8357]","[0.5619, 0.8122]","[0.7004, 0.7102]","[0.7145, 0.6104]","[0.6119, 0.6035]","[0.606, 0.3889]","[0.6794, 0.1833]","[0.7192, 0.0397]","[0.7474, -0.0787]","[0.4638, 0.3894]","[0.4973, 0.3449]","[0.5158, 0.5175]","[0.5261, 0.6457]","[0.3358, 0.4278]","[0.3778, 0.4331]","[0.4297, 0.5911]","[0.4554, 0.6947]","[0.2229, 0.4935]","[0.2753, 0.5048]","[0.3325, 0.6184]","[0.3614, 0.6889]"
"[0.3974, 0.8518]","[0.564, 0.8067]","[0.6952, 0.7082]","[0.7152, 0.6114]","[0.6177, 0.5928]","[0.602, 0.3927]","[0.6734, 0.1855]","[0.7167, 0.0542]","[0.7454, -0.0559]","[0.4644, 0.3938]","[0.4982, 0.335]","[0.5126, 0.5017]","[0.5192, 0.6332]","[0.3397, 0.4289]","[0.3816, 0.4326]","[0.4256, 0.5908]","[0.4513, 0.6998]","[0.2301, 0.488]","[0.2751, 0.5032]","[0.3301, 0.6157]","[0.3649, 0.6896]"
"[0.399, 0.8472]","[0.566, 0.8045]","[0.6985, 0.7047]","[0.7174, 0.6079]","[0.6202, 0.5858]","[0.6024, 0.3871]","[0.6755, 0.1716]","[0.72, 0.0355]","[0.7497, -0.0762]","[0.4621, 0.3878]","[0.4994, 0.3368]","[0.5153, 0.504]","[0.5206, 0.6356]","[0.3359, 0.4214]","[0.3818, 0.4285]","[0.426, 0.5846]","[0.4496, 0.6898]","[0.2267, 0.4783]","[0.2787, 0.5042]","[0.3338, 0.6158]","[0.3678, 0.6857]"
"[0.3989, 0.8482]","[0.5626, 0.8039]","[0.6927, 0.7056]","[0.7082, 0.6089]","[0.607, 0.5873]","[0.6034, 0.3842]","[0.6744, 0.1662]","[0.7184, 0.0302]","[0.7455, -0.081]","[0.4642, 0.3874]","[0.4977, 0.3378]","[0.5129, 0.5044]","[0.5172, 0.6338]","[0.338, 0.4219]","[0.3812, 0.4288]","[0.4246, 0.5855]","[0.4473, 0.6911]","[0.2278, 0.4793]","[0.2772, 0.5017]","[0.3324, 0.6148]","[0.3661, 0.6869]"
"[0.3978, 0.8492]","[0.5619, 0.8072]","[0.69, 0.7075]","[0.7053, 0.6088]","[0.5996, 0.5923]","[0.6022, 0.3835]","[0.6745, 0.1526]","[0.7207, 0.0064]","[0.747, -0.113]","[0.4624, 0.3887]","[0.4968, 0.3429]","[0.5114, 0.511]","[0.5125, 0.6342]","[0.3366, 0.426]","[0.3777, 0.4312]","[0.4244, 0.5858]","[0.4468, 0.6862]","[0.2267, 0.4857]","[0.2757, 0.5015]","[0.3349, 0.6113]","[0.3695, 0.6796]"
"[0.3945, 0.8634]","[0.5603, 0.8156]","[0.6973, 0.7108]","[0.7013, 0.6099]","[0.5883, 0.5965]","[0.5991, 0.3983]","[0.6726, 0.1785]","[0.7192, 0.0464]","[0.7481, -0.0645]","[0.4619, 0.4009]","[0.4973, 0.3454]","[0.512, 0.5093]","[0.5139, 0.6362]","[0.3389, 0.4355]","[0.3779, 0.4318]","[0.4244, 0.5885]","[0.4495, 0.6952]","[0.2307, 0.4929]","[0.2779, 0.5071]","[0.3355, 0.6178]","[0.3713, 0.691]"
"[0.396, 0.8555]","[0.5608, 0.8103]","[0.6948, 0.7097]","[0.7068, 0.6099]","[0.5998, 0.5908]","[0.5985, 0.3938]","[0.6645, 0.1775]","[0.7099, 0.0422]","[0.7383, -0.0712]","[0.459, 0.3939]","[0.4897, 0.3483]","[0.5037, 0.5145]","[0.5064, 0.6422]","[0.3333, 0.4275]","[0.3743, 0.4375]","[0.4194, 0.5918]","[0.444, 0.695]","[0.2235, 0.4848]","[0.273, 0.507]","[0.3288, 0.6147]","[0.3641, 0.6826]"
"[0.3925, 0.8562]","[0.5527, 0.8107]","[0.6803, 0.7128]","[0.6946, 0.6126]","[0.5885, 0.59]","[0.5881, 0.395]","[0.6565, 0.1765]","[0.7011, 0.0401]","[0.7296, -0.0724]","[0.45, 0.3986]","[0.4811, 0.345]","[0.4961, 0.5083]","[0.5025, 0.6357]","[0.3249, 0.4343]","[0.3671, 0.4394]","[0.4131, 0.594]","[0.4402, 0.6979]","[0.2167, 0.4929]","[0.2641, 0.5081]","[0.3207, 0.6175]","[0.3569, 0.6886]"
"[0.387, 0.8566]","[0.5466, 0.8034]","[0.6711, 0.705]","[0.6787, 0.6103]","[0.5724, 0.5889]","[0.5743, 0.395]","[0.6339, 0.1805]","[0.675, 0.0438]","[0.7009, -0.0702]","[0.4378, 0.3985]","[0.4599, 0.3456]","[0.4784, 0.5081]","[0.4885, 0.6378]","[0.3141, 0.4357]","[0.3479, 0.4417]","[0.3964, 0.5903]","[0.4254, 0.6941]","[0.2065, 0.4962]","[0.2467, 0.5084]","[0.3029, 0.6117]","[0.3398, 0.6812]"
"[0.3742, 0.8557]","[0.5326, 0.7995]","[0.6592, 0.6904]","[0.6437, 0.5977]","[0.5302, 0.5804]","[0.5491, 0.3978]","[0.6006, 0.1901]","[0.639, 0.0581]","[0.6599, -0.0487]","[0.4157, 0.4083]","[0.4281, 0.3428]","[0.4509, 0.5026]","[0.4583, 0.6283]","[0.2972, 0.4497]","[0.3102, 0.4346]","[0.3598, 0.5798]","[0.3858, 0.6764]","[0.189, 0.5129]","[0.2087, 0.5]","[0.2662, 0.5986]","[0.3018, 0.665]"
