"[0.4117, 0.7944]","[0.5475, 0.7965]","[0.6829, 0.7151]","[0.6915, 0.6176]","[0.592, 0.5974]","[0.6006, 0.4094]","[0.6604, 0.2335]","[0.7017, 0.0962]","[0.7204, -0.0152]","[0.4735, 0.4047]","[0.4932, 0.3487]","[0.5101, 0.517]","[0.5121, 0.6143]","[0.3577, 0.4336]","[0.3837, 0.4147]","[0.4285, 0.5672]","[0.4372, 0.6531]","[0.2453, 0.4881]","[0.2875, 0.4762]","[0.3411, 0.5934]","[0.3587, 0.6574]"
"[0.4011, 0.8235]","[0.5542, 0.8054]","[0.6925, 0.7227]","[0.7088, 0.6286]","[0.6071, 0.606]","[0.5989, 0.4009]","[0.667, 0.2014]","[0.7087, 0.0591]","[0.732, -0.0593]","[0.474, 0.3977]","[0.5025, 0.3539]","[0.5146, 0.5137]","[0.5165, 0.6159]","[0.3582, 0.4286]","[0.395, 0.4255]","[0.4329, 0.5715]","[0.4454, 0.6569]","[0.2501, 0.4825]","[0.2976, 0.485]","[0.3473, 0.591]","[0.3687, 0.6499]"
"[0.4042, 0.8379]","[0.5637, 0.8063]","[0.707, 0.7198]","[0.7131, 0.6307]","[0.6039, 0.6025]","[0.6047, 0.4034]","[0.6685, 0.204]","[0.7131, 0.0769]","[0.7399, -0.0306]","[0.4779, 0.399]","[0.5047, 0.354]","[0.5174, 0.5096]","[0.5154, 0.6172]","[0.3611, 0.4297]","[0.396, 0.4247]","[0.4327, 0.5718]","[0.4452, 0.66]","[0.2526, 0.4832]","[0.301, 0.4876]","[0.35, 0.5925]","[0.3738, 0.6533]"
"[0.4028, 0.8433]","[0.5632, 0.8086]","[0.7048, 0.7169]","[0.7107, 0.6274]","[0.5997, 0.5978]","[0.6043, 0.4031]","[0.6702, 0.1988]","[0.7146, 0.0683]","[0.7405, -0.0434]","[0.4768, 0.3981]","[0.5051, 0.3559]","[0.5188, 0.5126]","[0.5165, 0.6188]","[0.3592, 0.4285]","[0.3951, 0.4271]","[0.4324, 0.5733]","[0.4454, 0.6582]","[0.2516, 0.4814]","[0.3002, 0.4879]","[0.3488, 0.5904]","[0.3722, 0.6477]"
"[0.4016, 0.8467]","[0.5627, 0.8107]","[0.7053, 0.7204]","[0.7157, 0.6293]","[0.6039, 0.5953]","[0.6039, 0.4077]","[0.6674, 0.2021]","[0.7126, 0.0724]","[0.7386, -0.0381]","[0.478, 0.4045]","[0.503, 0.3567]","[0.5143, 0.5148]","[0.5117, 0.621]","[0.3612, 0.4345]","[0.3916, 0.4241]","[0.4279, 0.5726]","[0.4422, 0.6592]","[0.2533, 0.486]","[0.2967, 0.486]","[0.3454, 0.5896]","[0.3706, 0.6488]"
"[0.4035, 0.8471]","[0.5648, 0.8089]","[0.7067, 0.7191]","[0.7188, 0.6308]","[0.609, 0.6023]","[0.6048, 0.4063]","[0.6696, 0.2036]","[0.7155, 0.0756]","[0.7431, -0.0346]","[0.4792, 0.4021]","[0.5056, 0.3578]","[0.5174, 0.514]","[0.515, 0.6181]","[0.3623, 0.4315]","[0.3944, 0.4243]","[0.43, 0.5713]","[0.4435, 0.6575]","[0.2548, 0.4829]","[0.298, 0.485]","[0.3457, 0.5893]","[0.3702, 0.6495]"
"[0.4057, 0.8455]","[0.5649, 0.8068]","[0.7037, 0.7203]","[0.7162, 0.6338]","[0.611, 0.6044]","[0.6065, 0.4023]","[0.666, 0.201]","[0.7057, 0.07]","[0.7286, -0.0408]","[0.4798, 0.3972]","[0.5049, 0.358]","[0.517, 0.5127]","[0.5162, 0.6162]","[0.3621, 0.4273]","[0.3906, 0.4257]","[0.4271, 0.5681]","[0.4423, 0.6529]","[0.2543, 0.4803]","[0.2936, 0.4848]","[0.3431, 0.5864]","[0.3702, 0.6456]"
"[0.4018, 0.8477]","[0.5644, 0.8069]","[0.7048, 0.7122]","[0.7026, 0.6238]","[0.5931, 0.5964]","[0.6002, 0.4064]","[0.6553, 0.216]","[0.6924, 0.0963]","[0.7127, -0.006]","[0.4743, 0.4007]","[0.4973, 0.3551]","[0.5125, 0.5073]","[0.5114, 0.6135]","[0.3579, 0.429]","[0.3839, 0.4244]","[0.4225, 0.5681]","[0.4389, 0.653]","[0.2494, 0.4799]","[0.2888, 0.4864]","[0.338, 0.5882]","[0.3653, 0.6471]"
"[0.4057, 0.8411]","[0.5631, 0.8049]","[0.7026, 0.7115]","[0.7004, 0.6251]","[0.59, 0.5958]","[0.5949, 0.4054]","[0.6394, 0.2133]","[0.6718, 0.0948]","[0.6904, -0.0052]","[0.472, 0.4055]","[0.4884, 0.3611]","[0.5034, 0.5116]","[0.5043, 0.6123]","[0.3583, 0.4376]","[0.3706, 0.4181]","[0.4093, 0.5578]","[0.4289, 0.6391]","[0.2501, 0.4912]","[0.2732, 0.4806]","[0.3239, 0.5798]","[0.355, 0.6368]"
"[0.4045, 0.8466]","[0.5594, 0.8073]","[0.6966, 0.7116]","[0.6837, 0.6269]","[0.5718, 0.5976]","[0.5917, 0.411]","[0.6252, 0.2215]","[0.65, 0.1044]","[0.6627, 0.0077]","[0.4677, 0.4126]","[0.4782, 0.3543]","[0.4974, 0.5057]","[0.5032, 0.6089]","[0.3541, 0.4448]","[0.3617, 0.4186]","[0.4025, 0.5605]","[0.4242, 0.6431]","[0.2451, 0.4991]","[0.2664, 0.4834]","[0.3172, 0.5844]","[0.3482, 0.6422]"
"[0.4031, 0.8419]","[0.5573, 0.8039]","[0.6946, 0.7117]","[0.6805, 0.6277]","[0.5698, 0.5983]","[0.5875, 0.4117]","[0.6184, 0.2189]","[0.6429, 0.0993]","[0.6555, 0.0017]","[0.464, 0.4133]","[0.4714, 0.3611]","[0.486, 0.5083]","[0.489, 0.6075]","[0.3521, 0.4448]","[0.3537, 0.418]","[0.3918, 0.5554]","[0.4137, 0.6344]","[0.2441, 0.4983]","[0.2576, 0.4828]","[0.3081, 0.5805]","[0.342, 0.6357]"
"[0.4031, 0.844]","[0.5556, 0.8027]","[0.6896, 0.709]","[0.674, 0.6285]","[0.5683, 0.599]","[0.5825, 0.4117]","[0.6054, 0.2216]","[0.6233, 0.1007]","[0.6283, 0.0009]","[0.4599, 0.4144]","[0.4631, 0.3555]","[0.4815, 0.507]","[0.4884, 0.6035]","[0.3485, 0.4464]","[0.3476, 0.4193]","[0.3859, 0.5588]","[0.4068, 0.6318]","[0.2425, 0.5]","[0.254, 0.483]","[0.2996, 0.5834]","[0.3276, 0.6341]"
"[0.4047, 0.8399]","[0.555, 0.8019]","[0.6907, 0.7088]","[0.6682, 0.631]","[0.5581, 0.602]","[0.5822, 0.4053]","[0.5984, 0.197]","[0.607, 0.0631]","[0.6067, -0.0426]","[0.4559, 0.4096]","[0.4526, 0.355]","[0.472, 0.5056]","[0.4856, 0.6044]","[0.3429, 0.4403]","[0.3414, 0.4247]","[0.3843, 0.5653]","[0.4119, 0.6418]","[0.2375, 0.4916]","[0.2515, 0.4856]","[0.2979, 0.5884]","[0.3297, 0.6406]"
"[0.4054, 0.843]","[0.5553, 0.8028]","[0.6866, 0.71]","[0.6538, 0.6321]","[0.5418, 0.5967]","[0.5723, 0.4]","[0.5787, 0.1943]","[0.5804, 0.0602]","[0.573, -0.0485]","[0.4491, 0.4078]","[0.4478, 0.358]","[0.4679, 0.5111]","[0.4819, 0.6103]","[0.3384, 0.4434]","[0.3369, 0.432]","[0.3799, 0.5708]","[0.4088, 0.6469]","[0.2356, 0.4993]","[0.2484, 0.4938]","[0.2961, 0.5956]","[0.3293, 0.648]"
"[0.399, 0.846]","[0.5484, 0.8038]","[0.6812, 0.7093]","[0.6497, 0.6326]","[0.5379, 0.603]","[0.5614, 0.4016]","[0.5617, 0.2027]","[0.5588, 0.0775]","[0.5483, -0.0244]","[0.4415, 0.4119]","[0.4343, 0.3604]","[0.454, 0.5122]","[0.4677, 0.6055]","[0.3332, 0.4467]","[0.3233, 0.4254]","[0.3643, 0.5617]","[0.3919, 0.6326]","[0.2316, 0.5]","[0.2358, 0.4864]","[0.283, 0.5868]","[0.3161, 0.6373]"
"[0.392, 0.8423]","[0.5446, 0.8025]","[0.6792, 0.7138]","[0.6671, 0.6431]","[0.5634, 0.61]","[0.5582, 0.4022]","[0.5488, 0.1967]","[0.5365, 0.0658]","[0.5167, -0.0402]","[0.4388, 0.4134]","[0.4288, 0.361]","[0.4469, 0.5166]","[0.4618, 0.6153]","[0.3296, 0.4471]","[0.3158, 0.4277]","[0.3549, 0.566]","[0.3842, 0.6414]","[0.2279, 0.4979]","[0.2274, 0.4885]","[0.2723, 0.5914]","[0.3081, 0.6437]"
"[0.3886, 0.8419]","[0.5409, 0.8011]","[0.6753, 0.7148]","[0.6537, 0.6452]","[0.5472, 0.6163]","[0.5521, 0.4019]","[0.5351, 0.205]","[0.5161, 0.0775]","[0.4912, -0.0267]","[0.4314, 0.4119]","[0.4154, 0.3694]","[0.4371, 0.5229]","[0.4554, 0.6154]","[0.3216, 0.4472]","[0.303, 0.4356]","[0.3462, 0.5724]","[0.3795, 0.6429]","[0.22, 0.4998]","[0.2165, 0.4981]","[0.2639, 0.6025]","[0.3022, 0.6534]"
