[0.4349, 0.7548],[0.543, 0.7438],[0.6535, 0.6814],[0.6706, 0.6043],[0.5871, 0.5799],[0.5808, 0.4258],[0.6298, 0.2828],[0.6683, 0.176],[0.6863, 0.0901],[0.4782, 0.4242],[0.5021, 0.3749],[0.5139, 0.5139],[0.5098, 0.5875],[0.3871, 0.4515],[0.4071, 0.4309],[0.4447, 0.5504],[0.4475, 0.6119],[0.2976, 0.4981],[0.3285, 0.4794],[0.3723, 0.5664],[0.3837, 0.6119]
[0.4221, 0.7738],[0.5508, 0.7522],[0.6707, 0.6794],[0.6744, 0.6042],[0.5836, 0.5925],[0.5825, 0.418],[0.6371, 0.2707],[0.6713, 0.1703],[0.6907, 0.0852],[0.4808, 0.4154],[0.505, 0.3839],[0.5162, 0.5074],[0.514, 0.5841],[0.3874, 0.4414],[0.4151, 0.4427],[0.4466, 0.5596],[0.4567, 0.6227],[0.2996, 0.4874],[0.3357, 0.493],[0.3779, 0.5776],[0.3958, 0.6222]
[0.4231, 0.7806],[0.5568, 0.7495],[0.6736, 0.6745],[0.6771, 0.6025],[0.5867, 0.5898],[0.585, 0.423],[0.6371, 0.2683],[0.673, 0.1681],[0.6939, 0.0819],[0.4826, 0.4196],[0.506, 0.3834],[0.5143, 0.5067],[0.5084, 0.5914],[0.3884, 0.4441],[0.4154, 0.4426],[0.4434, 0.5598],[0.4527, 0.6274],[0.3016, 0.4865],[0.3372, 0.4887],[0.375, 0.572],[0.3925, 0.6197]
[0.4227, 0.7829],[0.5586, 0.7502],[0.6747, 0.6754],[0.6777, 0.6045],[0.5865, 0.5902],[0.5841, 0.4244],[0.6362, 0.2689],[0.6724, 0.1691],[0.6945, 0.0824],[0.4822, 0.4203],[0.5058, 0.3841],[0.5144, 0.506],[0.5108, 0.5924],[0.388, 0.4452],[0.4131, 0.4403],[0.4419, 0.5555],[0.4549, 0.6253],[0.3015, 0.4889],[0.3331, 0.4915],[0.3726, 0.5726],[0.395, 0.6207]
[0.424, 0.7881],[0.5565, 0.7526],[0.673, 0.6763],[0.6773, 0.6041],[0.5845, 0.5895],[0.5829, 0.4265],[0.6356, 0.2705],[0.6723, 0.1707],[0.6943, 0.0835],[0.4822, 0.4234],[0.5061, 0.3856],[0.5146, 0.5086],[0.5097, 0.5914],[0.3885, 0.4486],[0.4128, 0.4371],[0.4419, 0.5523],[0.454, 0.6197],[0.3012, 0.4924],[0.332, 0.4867],[0.3729, 0.5665],[0.3948, 0.6136]
[0.4239, 0.7853],[0.5551, 0.7513],[0.672, 0.6813],[0.6817, 0.6103],[0.5909, 0.5889],[0.5853, 0.4263],[0.6371, 0.2698],[0.6736, 0.1702],[0.6958, 0.0832],[0.484, 0.4235],[0.5044, 0.3862],[0.5126, 0.5093],[0.5087, 0.5928],[0.3895, 0.4488],[0.4113, 0.4361],[0.4404, 0.5509],[0.4524, 0.6189],[0.3015, 0.4927],[0.3297, 0.4868],[0.3698, 0.567],[0.3911, 0.6141]
[0.4239, 0.7831],[0.5559, 0.7505],[0.6714, 0.6806],[0.6824, 0.6111],[0.596, 0.5875],[0.584, 0.427],[0.6329, 0.2698],[0.6668, 0.1682],[0.6862, 0.0795],[0.4828, 0.4241],[0.5023, 0.3838],[0.5133, 0.5054],[0.5112, 0.5902],[0.3884, 0.4499],[0.4094, 0.4355],[0.441, 0.549],[0.4546, 0.6178],[0.3008, 0.4938],[0.3287, 0.4871],[0.3701, 0.5657],[0.3928, 0.6125]
[0.424, 0.783],[0.5537, 0.7503],[0.6687, 0.677],[0.6727, 0.6081],[0.5836, 0.5864],[0.5809, 0.4268],[0.6249, 0.2679],[0.6548, 0.1651],[0.6698, 0.0758],[0.4804, 0.4261],[0.4945, 0.3814],[0.5057, 0.5023],[0.5041, 0.5868],[0.3879, 0.4522],[0.4002, 0.4325],[0.4318, 0.5449],[0.4465, 0.6135],[0.3008, 0.4958],[0.321, 0.4814],[0.3626, 0.5612],[0.3867, 0.6107]
[0.4261, 0.7874],[0.5521, 0.754],[0.6638, 0.6796],[0.6646, 0.6099],[0.5743, 0.5814],[0.5771, 0.4284],[0.6118, 0.2675],[0.6361, 0.1642],[0.6476, 0.0737],[0.4773, 0.4316],[0.4887, 0.3826],[0.5019, 0.5041],[0.5022, 0.5874],[0.3858, 0.4606],[0.3917, 0.4297],[0.4245, 0.5424],[0.4404, 0.6118],[0.2984, 0.5064],[0.3121, 0.4773],[0.3553, 0.557],[0.3802, 0.6086]
[0.4233, 0.7902],[0.55, 0.7557],[0.6613, 0.6784],[0.6537, 0.6088],[0.5582, 0.5827],[0.5745, 0.4308],[0.6022, 0.2683],[0.621, 0.1637],[0.6271, 0.073],[0.4748, 0.4372],[0.4797, 0.3834],[0.4941, 0.5032],[0.4973, 0.5842],[0.384, 0.4669],[0.3831, 0.4282],[0.4156, 0.5418],[0.4336, 0.6115],[0.2975, 0.513],[0.305, 0.4805],[0.3465, 0.5622],[0.373, 0.6145]
