"[0.6102, 0.808]","[0.4776, 0.7983]","[0.3333, 0.7097]","[0.3005, 0.6047]","[0.3962, 0.5646]","[0.4181, 0.4253]","[0.3382, 0.2378]","[0.2903, 0.1039]","[0.2555, -0.0024]","[0.5388, 0.4113]","[0.4795, 0.3616]","[0.4728, 0.5165]","[0.481, 0.6276]","[0.6538, 0.4405]","[0.593, 0.4263]","[0.5718, 0.5723]","[0.5671, 0.6665]","[0.7606, 0.4979]","[0.7011, 0.5005]","[0.6665, 0.6057]","[0.6553, 0.664]"
"[0.6237, 0.8335]","[0.4788, 0.8086]","[0.3353, 0.7137]","[0.2865, 0.6084]","[0.3743, 0.5693]","[0.4045, 0.4239]","[0.3224, 0.226]","[0.2777, 0.0883]","[0.2493, -0.0204]","[0.529, 0.4035]","[0.4711, 0.3644]","[0.4634, 0.52]","[0.4676, 0.6364]","[0.6471, 0.4293]","[0.5856, 0.4405]","[0.5629, 0.5747]","[0.5538, 0.6615]","[0.755, 0.4861]","[0.6984, 0.5051]","[0.662, 0.5982]","[0.6483, 0.6511]"
"[0.6257, 0.8481]","[0.4708, 0.8067]","[0.322, 0.7036]","[0.292, 0.5934]","[0.3903, 0.5673]","[0.4003, 0.4184]","[0.3182, 0.2227]","[0.2728, 0.0952]","[0.2415, -0.0069]","[0.5258, 0.4044]","[0.4628, 0.3658]","[0.4567, 0.5248]","[0.4648, 0.6428]","[0.6431, 0.4316]","[0.5779, 0.4404]","[0.558, 0.5786]","[0.5513, 0.6719]","[0.7504, 0.4875]","[0.6909, 0.5035]","[0.6565, 0.5966]","[0.6451, 0.653]"
"[0.6227, 0.8561]","[0.4661, 0.8075]","[0.3211, 0.7078]","[0.2943, 0.6017]","[0.3925, 0.571]","[0.4003, 0.4197]","[0.3186, 0.233]","[0.2727, 0.1153]","[0.242, 0.0201]","[0.526, 0.407]","[0.463, 0.3685]","[0.4537, 0.5285]","[0.462, 0.6493]","[0.6424, 0.4336]","[0.5757, 0.4415]","[0.554, 0.583]","[0.55, 0.6807]","[0.7503, 0.4879]","[0.6869, 0.5068]","[0.6524, 0.598]","[0.6433, 0.6554]"
"[0.6243, 0.8535]","[0.4717, 0.8116]","[0.3257, 0.717]","[0.2928, 0.6095]","[0.3951, 0.5739]","[0.4002, 0.4209]","[0.3178, 0.226]","[0.2696, 0.1036]","[0.2375, 0.0039]","[0.5263, 0.4054]","[0.4649, 0.373]","[0.4576, 0.5353]","[0.4658, 0.6525]","[0.6435, 0.4322]","[0.5787, 0.4468]","[0.5597, 0.5899]","[0.5557, 0.6838]","[0.7508, 0.4879]","[0.6888, 0.5099]","[0.6566, 0.6048]","[0.6489, 0.6601]"
"[0.6285, 0.8605]","[0.4728, 0.8162]","[0.328, 0.7256]","[0.2916, 0.6218]","[0.3869, 0.5828]","[0.4067, 0.4317]","[0.3259, 0.244]","[0.2801, 0.1292]","[0.2469, 0.0353]","[0.532, 0.4209]","[0.4666, 0.3795]","[0.4572, 0.5376]","[0.4642, 0.6563]","[0.6486, 0.4466]","[0.5792, 0.4512]","[0.5577, 0.5924]","[0.5516, 0.6892]","[0.7571, 0.4984]","[0.6935, 0.5092]","[0.6582, 0.603]","[0.6471, 0.6631]"
"[0.6227, 0.857]","[0.4715, 0.8187]","[0.3292, 0.7269]","[0.2968, 0.6241]","[0.3919, 0.5851]","[0.4045, 0.43]","[0.3229, 0.2362]","[0.2778, 0.114]","[0.2474, 0.0132]","[0.531, 0.4144]","[0.4687, 0.3829]","[0.4616, 0.5447]","[0.4696, 0.6622]","[0.6485, 0.4408]","[0.5847, 0.4542]","[0.5643, 0.5979]","[0.5577, 0.6935]","[0.7555, 0.4958]","[0.6962, 0.5141]","[0.6608, 0.6117]","[0.6487, 0.6706]"
"[0.6231, 0.8615]","[0.4715, 0.8218]","[0.3275, 0.7228]","[0.3053, 0.6144]","[0.4084, 0.5828]","[0.4073, 0.4331]","[0.3273, 0.2313]","[0.2834, 0.1052]","[0.2526, 0.0033]","[0.535, 0.4234]","[0.4778, 0.3775]","[0.4674, 0.539]","[0.4743, 0.6602]","[0.6528, 0.4522]","[0.5934, 0.4547]","[0.5679, 0.5969]","[0.5589, 0.693]","[0.7611, 0.507]","[0.7061, 0.5134]","[0.6677, 0.6115]","[0.6539, 0.6732]"
"[0.6343, 0.87]","[0.4871, 0.8256]","[0.3427, 0.7165]","[0.3235, 0.6001]","[0.4336, 0.5777]","[0.4316, 0.4375]","[0.3565, 0.231]","[0.3134, 0.1044]","[0.2844, 0.0021]","[0.557, 0.4362]","[0.507, 0.3665]","[0.4919, 0.5273]","[0.4989, 0.6493]","[0.6708, 0.4683]","[0.618, 0.4518]","[0.5871, 0.5929]","[0.5794, 0.6844]","[0.7789, 0.5222]","[0.7281, 0.51]","[0.686, 0.6065]","[0.6731, 0.666]"
"[0.633, 0.8672]","[0.4871, 0.8137]","[0.3543, 0.6937]","[0.3531, 0.5757]","[0.4628, 0.5653]","[0.4587, 0.4293]","[0.3952, 0.2282]","[0.3628, 0.1069]","[0.3409, 0.0087]","[0.581, 0.437]","[0.5518, 0.3607]","[0.5318, 0.5151]","[0.5282, 0.6396]","[0.6911, 0.4759]","[0.6612, 0.4498]","[0.6213, 0.5837]","[0.6026, 0.6785]","[0.7954, 0.5354]","[0.7678, 0.5109]","[0.7207, 0.5945]","[0.6975, 0.6525]"
"[0.6427, 0.8687]","[0.4963, 0.8119]","[0.3688, 0.6754]","[0.3802, 0.5515]","[0.4982, 0.5528]","[0.4842, 0.419]","[0.4403, 0.2103]","[0.4199, 0.0818]","[0.4088, -0.0216]","[0.606, 0.4337]","[0.5906, 0.3512]","[0.5665, 0.5069]","[0.5593, 0.6296]","[0.714, 0.4801]","[0.6989, 0.4414]","[0.6543, 0.5773]","[0.6329, 0.6699]","[0.8163, 0.5472]","[0.8028, 0.5109]","[0.7538, 0.5931]","[0.7288, 0.6478]"
