"[0.5578, 0.9041]","[0.4126, 0.8934]","[0.3055, 0.7553]","[0.3483, 0.601]","[0.4748, 0.5382]","[0.3742, 0.5456]","[0.3543, 0.3305]","[0.3561, 0.1896]","[0.3677, 0.0692]","[0.4935, 0.5307]","[0.469, 0.295]","[0.4617, 0.1383]","[0.4651, -0.0056]","[0.6064, 0.5605]","[0.6062, 0.405]","[0.5747, 0.538]","[0.5557, 0.6457]","[0.7172, 0.6225]","[0.6955, 0.5087]","[0.6658, 0.6084]","[0.6493, 0.6977]"
"[0.5711, 0.9681]","[0.398, 0.9206]","[0.2901, 0.7608]","[0.3397, 0.6047]","[0.4573, 0.5387]","[0.3688, 0.5442]","[0.3595, 0.3284]","[0.3657, 0.1851]","[0.3743, 0.0669]","[0.483, 0.5299]","[0.47, 0.2596]","[0.4694, 0.0817]","[0.4759, -0.0718]","[0.6, 0.5602]","[0.5952, 0.4041]","[0.5639, 0.5407]","[0.5442, 0.6627]","[0.7167, 0.6234]","[0.6885, 0.5108]","[0.6557, 0.6067]","[0.6346, 0.7025]"
"[0.5784, 1.011]","[0.3931, 0.9285]","[0.2909, 0.7643]","[0.3494, 0.5992]","[0.4632, 0.5281]","[0.3712, 0.5442]","[0.3592, 0.3274]","[0.3667, 0.1894]","[0.3766, 0.0683]","[0.4847, 0.5286]","[0.4644, 0.2669]","[0.4591, 0.1048]","[0.464, -0.0343]","[0.5995, 0.5586]","[0.5955, 0.4051]","[0.5612, 0.5474]","[0.5424, 0.6759]","[0.7159, 0.6224]","[0.6892, 0.5106]","[0.6561, 0.6056]","[0.6399, 0.7039]"
"[0.5803, 1.0203]","[0.3924, 0.9298]","[0.2917, 0.7638]","[0.3459, 0.5978]","[0.4637, 0.5263]","[0.3774, 0.5433]","[0.365, 0.3252]","[0.3705, 0.1881]","[0.3799, 0.0668]","[0.491, 0.5303]","[0.4653, 0.2645]","[0.4566, 0.1059]","[0.4591, -0.0303]","[0.6065, 0.5621]","[0.6044, 0.4017]","[0.5686, 0.5506]","[0.5479, 0.6831]","[0.7232, 0.6283]","[0.6952, 0.516]","[0.6609, 0.6129]","[0.6448, 0.7108]"
"[0.5818, 1.0302]","[0.3934, 0.9369]","[0.2933, 0.7675]","[0.3475, 0.5959]","[0.4695, 0.5267]","[0.3779, 0.5458]","[0.3619, 0.3277]","[0.3676, 0.1911]","[0.3779, 0.0692]","[0.4917, 0.5321]","[0.4645, 0.2715]","[0.4512, 0.1168]","[0.4489, -0.0162]","[0.6065, 0.5625]","[0.6043, 0.404]","[0.5662, 0.5592]","[0.5438, 0.6947]","[0.7231, 0.6286]","[0.6971, 0.5168]","[0.6611, 0.617]","[0.6442, 0.7165]"
"[0.575, 1.0263]","[0.3903, 0.9288]","[0.2914, 0.7632]","[0.3488, 0.5983]","[0.4728, 0.5318]","[0.3752, 0.5419]","[0.3608, 0.3252]","[0.3677, 0.1906]","[0.3788, 0.0712]","[0.4901, 0.5308]","[0.4643, 0.2707]","[0.4517, 0.1189]","[0.4482, -0.012]","[0.6069, 0.5632]","[0.6021, 0.4061]","[0.5663, 0.5583]","[0.5445, 0.6917]","[0.7243, 0.6311]","[0.6965, 0.519]","[0.6618, 0.6168]","[0.6452, 0.7146]"
"[0.5889, 1.03]","[0.3983, 0.9401]","[0.2962, 0.7684]","[0.3516, 0.6]","[0.4716, 0.5275]","[0.3783, 0.5455]","[0.3628, 0.3246]","[0.3702, 0.1876]","[0.3823, 0.0666]","[0.4937, 0.5328]","[0.4669, 0.2699]","[0.4559, 0.1147]","[0.4544, -0.0183]","[0.6103, 0.564]","[0.6057, 0.4034]","[0.5712, 0.5559]","[0.5503, 0.6912]","[0.7274, 0.6302]","[0.6997, 0.5191]","[0.6651, 0.6172]","[0.6472, 0.7165]"
"[0.5836, 1.0277]","[0.3995, 0.9393]","[0.2972, 0.7678]","[0.3515, 0.5999]","[0.4738, 0.526]","[0.3754, 0.5427]","[0.3616, 0.3244]","[0.3695, 0.1882]","[0.3824, 0.0679]","[0.4904, 0.5294]","[0.4643, 0.2662]","[0.4541, 0.1083]","[0.453, -0.0284]","[0.6072, 0.561]","[0.6061, 0.4007]","[0.5695, 0.5563]","[0.5459, 0.6925]","[0.7252, 0.6272]","[0.6985, 0.5184]","[0.6631, 0.6166]","[0.644, 0.7147]"
"[0.5848, 1.0299]","[0.3968, 0.9388]","[0.2957, 0.7668]","[0.3502, 0.5974]","[0.4724, 0.5263]","[0.3752, 0.5426]","[0.3605, 0.3244]","[0.3674, 0.1895]","[0.3795, 0.0704]","[0.4902, 0.5295]","[0.4642, 0.2728]","[0.4528, 0.1201]","[0.4501, -0.0119]","[0.6059, 0.5608]","[0.6056, 0.4009]","[0.5714, 0.5524]","[0.5486, 0.6858]","[0.7228, 0.6273]","[0.6999, 0.5206]","[0.6657, 0.6183]","[0.6473, 0.7156]"
"[0.5823, 1.0251]","[0.3939, 0.9384]","[0.2887, 0.7668]","[0.3471, 0.6007]","[0.4738, 0.5316]","[0.3739, 0.542]","[0.3601, 0.3234]","[0.3688, 0.1867]","[0.3817, 0.0664]","[0.4899, 0.5272]","[0.4646, 0.2598]","[0.4561, 0.0958]","[0.456, -0.0459]","[0.6066, 0.5595]","[0.6014, 0.3963]","[0.5674, 0.5483]","[0.5455, 0.6837]","[0.7253, 0.6274]","[0.6984, 0.5202]","[0.6618, 0.6166]","[0.6408, 0.7146]"
"[0.5842, 1.0278]","[0.396, 0.941]","[0.2942, 0.7704]","[0.3477, 0.6028]","[0.4699, 0.5325]","[0.3773, 0.5416]","[0.3659, 0.3224]","[0.3731, 0.1866]","[0.3844, 0.066]","[0.4927, 0.5266]","[0.4698, 0.2597]","[0.4626, 0.0989]","[0.4643, -0.0403]","[0.6083, 0.5588]","[0.6077, 0.3967]","[0.5744, 0.5467]","[0.5528, 0.6803]","[0.7252, 0.627]","[0.701, 0.516]","[0.6654, 0.6134]","[0.6451, 0.7135]"
