[0.5928, 0.9354],[0.4358, 0.9243],[0.3301, 0.7727],[0.3812, 0.6029],[0.5112, 0.5383],[0.3651, 0.563],[0.3403, 0.3455],[0.3401, 0.208],[0.3467, 0.0911],[0.4823, 0.5333],[0.4426, 0.2941],[0.4286, 0.1369],[0.4229, -0.0079],[0.5959, 0.5497],[0.6045, 0.3812],[0.5935, 0.4985],[0.5825, 0.5999],[0.7098, 0.5983],[0.6991, 0.4924],[0.6785, 0.58],[0.6604, 0.6681]
[0.5986, 0.9909],[0.4165, 0.9253],[0.314, 0.7644],[0.3779, 0.5988],[0.4923, 0.5378],[0.3645, 0.5599],[0.3373, 0.346],[0.3342, 0.2092],[0.3379, 0.092],[0.4779, 0.5333],[0.4417, 0.281],[0.4264, 0.1112],[0.4209, -0.0354],[0.5902, 0.5566],[0.5909, 0.377],[0.5835, 0.4956],[0.5802, 0.615],[0.7042, 0.6131],[0.6945, 0.4902],[0.6723, 0.5729],[0.6548, 0.6705]
[0.5954, 1.004],[0.4111, 0.9233],[0.3143, 0.7592],[0.3829, 0.5947],[0.4949, 0.5277],[0.3673, 0.5537],[0.3399, 0.3453],[0.3353, 0.2159],[0.3385, 0.0995],[0.4807, 0.5325],[0.4365, 0.3007],[0.4156, 0.1536],[0.406, 0.0226],[0.5913, 0.5572],[0.5978, 0.3869],[0.5841, 0.5075],[0.5727, 0.6277],[0.7027, 0.6155],[0.6974, 0.4979],[0.676, 0.581],[0.6608, 0.6787]
[0.5947, 1.0022],[0.41, 0.9216],[0.3134, 0.754],[0.3849, 0.5979],[0.4962, 0.536],[0.363, 0.5562],[0.3385, 0.3468],[0.336, 0.2157],[0.34, 0.0985],[0.4768, 0.5343],[0.4366, 0.297],[0.4195, 0.1429],[0.4113, 0.0046],[0.5885, 0.5589],[0.6017, 0.3896],[0.5893, 0.5105],[0.5758, 0.6303],[0.7005, 0.6177],[0.6993, 0.504],[0.6756, 0.5847],[0.6562, 0.6793]
[0.5959, 0.9979],[0.4092, 0.917],[0.3104, 0.7511],[0.3828, 0.5923],[0.497, 0.5324],[0.3622, 0.5562],[0.3359, 0.348],[0.333, 0.2177],[0.3361, 0.1003],[0.4765, 0.5342],[0.4348, 0.2993],[0.4168, 0.1463],[0.4067, 0.009],[0.588, 0.5584],[0.5995, 0.3888],[0.5867, 0.5108],[0.5725, 0.6316],[0.6999, 0.6158],[0.6984, 0.5023],[0.6729, 0.5847],[0.6514, 0.6808]
[0.599, 1.0012],[0.41, 0.9252],[0.3072, 0.7569],[0.3781, 0.5958],[0.4917, 0.5364],[0.3609, 0.5608],[0.3331, 0.3495],[0.3304, 0.2179],[0.3349, 0.0997],[0.4756, 0.5367],[0.4332, 0.2954],[0.4149, 0.1349],[0.4062, -0.0093],[0.587, 0.5602],[0.5973, 0.3848],[0.5853, 0.5076],[0.5743, 0.6313],[0.699, 0.6171],[0.6957, 0.4999],[0.672, 0.5823],[0.6537, 0.6805]
[0.5932, 1.0047],[0.4059, 0.9203],[0.3069, 0.7549],[0.3809, 0.5977],[0.4925, 0.5378],[0.3594, 0.5555],[0.333, 0.3483],[0.3317, 0.2174],[0.3371, 0.0991],[0.4744, 0.5331],[0.4323, 0.2938],[0.4137, 0.1365],[0.4047, -0.0051],[0.587, 0.5588],[0.5953, 0.3851],[0.5816, 0.5083],[0.5701, 0.6306],[0.7001, 0.6185],[0.695, 0.5005],[0.6707, 0.5818],[0.6535, 0.677]
[0.5931, 1.0089],[0.408, 0.929],[0.3089, 0.7615],[0.3782, 0.6029],[0.4874, 0.5378],[0.3596, 0.5592],[0.3326, 0.3492],[0.3303, 0.2179],[0.3344, 0.0994],[0.4743, 0.5364],[0.4327, 0.2938],[0.4137, 0.1369],[0.4043, -0.0051],[0.587, 0.5619],[0.5944, 0.385],[0.5791, 0.5098],[0.5656, 0.632],[0.7003, 0.6225],[0.6939, 0.4996],[0.6699, 0.5809],[0.6521, 0.6775]
[0.5816, 1.0035],[0.3995, 0.9168],[0.303, 0.7534],[0.3723, 0.5973],[0.4856, 0.54],[0.3546, 0.5566],[0.3291, 0.346],[0.3277, 0.2143],[0.3322, 0.0954],[0.4699, 0.5352],[0.429, 0.288],[0.4115, 0.1277],[0.4022, -0.018],[0.5838, 0.561],[0.5919, 0.3878],[0.5795, 0.5177],[0.5674, 0.6408],[0.6981, 0.6216],[0.6919, 0.5032],[0.6695, 0.5891],[0.6535, 0.685]
[0.5824, 1.0049],[0.4008, 0.9207],[0.3045, 0.7531],[0.3714, 0.591],[0.487, 0.5348],[0.3565, 0.5601],[0.3289, 0.3488],[0.3246, 0.221],[0.3265, 0.1055],[0.4698, 0.538],[0.4284, 0.2984],[0.4086, 0.1506],[0.3967, 0.0189],[0.5811, 0.5621],[0.5901, 0.3857],[0.5759, 0.5135],[0.5608, 0.6367],[0.6934, 0.6217],[0.6873, 0.5006],[0.6642, 0.5859],[0.6469, 0.6845]
[0.58, 0.9995],[0.3998, 0.9161],[0.3031, 0.7524],[0.3695, 0.5975],[0.4798, 0.538],[0.3532, 0.5595],[0.3259, 0.3465],[0.3228, 0.2143],[0.3263, 0.097],[0.466, 0.5381],[0.4251, 0.2902],[0.4066, 0.1267],[0.3973, -0.0202],[0.5783, 0.5621],[0.5876, 0.3857],[0.5764, 0.5144],[0.5654, 0.6381],[0.6917, 0.6203],[0.686, 0.5017],[0.6635, 0.5871],[0.6472, 0.6838]
[0.585, 1.0021],[0.4006, 0.9199],[0.3027, 0.7563],[0.369, 0.5979],[0.4801, 0.5373],[0.3535, 0.5595],[0.3257, 0.3469],[0.3228, 0.2171],[0.3257, 0.1006],[0.4664, 0.5375],[0.423, 0.2957],[0.4039, 0.1427],[0.3931, 0.006],[0.5781, 0.5613],[0.5852, 0.3879],[0.5716, 0.5168],[0.5572, 0.6408],[0.6912, 0.6193],[0.6855, 0.5003],[0.66, 0.5848],[0.6397, 0.682]
[0.5847, 0.9995],[0.4005, 0.9159],[0.3002, 0.7564],[0.3662, 0.5955],[0.4879, 0.5435],[0.3489, 0.5577],[0.321, 0.347],[0.3172, 0.218],[0.32, 0.1029],[0.4631, 0.5357],[0.4211, 0.2935],[0.4025, 0.14],[0.3922, 0.0039],[0.5752, 0.5597],[0.581, 0.3877],[0.5686, 0.5165],[0.5565, 0.6424],[0.6878, 0.6178],[0.6821, 0.5024],[0.6572, 0.5852],[0.638, 0.6812]
[0.5806, 0.9946],[0.3956, 0.9141],[0.297, 0.7586],[0.3625, 0.6003],[0.4801, 0.5445],[0.3491, 0.5585],[0.3228, 0.3463],[0.3209, 0.2152],[0.3253, 0.0968],[0.4637, 0.536],[0.4209, 0.2814],[0.4024, 0.1142],[0.3932, -0.0354],[0.5759, 0.5601],[0.5772, 0.3858],[0.566, 0.5153],[0.5573, 0.6431],[0.6885, 0.618],[0.678, 0.5005],[0.6557, 0.5864],[0.6404, 0.6868]
