"[0.5828, 0.9325]","[0.4203, 0.903]","[0.3172, 0.7483]","[0.367, 0.5884]","[0.5003, 0.5354]","[0.3735, 0.5614]","[0.3492, 0.3459]","[0.3487, 0.208]","[0.3559, 0.0936]","[0.4881, 0.5385]","[0.455, 0.2964]","[0.4426, 0.1363]","[0.4383, -0.0069]","[0.6005, 0.5582]","[0.603, 0.3998]","[0.5862, 0.5298]","[0.5706, 0.6405]","[0.712, 0.609]","[0.6973, 0.4985]","[0.6776, 0.5919]","[0.6625, 0.6832]"
"[0.6044, 0.9812]","[0.4224, 0.9097]","[0.3109, 0.7439]","[0.3704, 0.5798]","[0.4936, 0.5235]","[0.3691, 0.5617]","[0.3475, 0.3477]","[0.35, 0.2112]","[0.3559, 0.0927]","[0.4824, 0.5357]","[0.4532, 0.2676]","[0.4442, 0.086]","[0.4472, -0.0738]","[0.5952, 0.5579]","[0.5945, 0.3938]","[0.5773, 0.5347]","[0.5664, 0.6615]","[0.7095, 0.6116]","[0.6889, 0.4977]","[0.6652, 0.5906]","[0.6493, 0.6879]"
"[0.6004, 0.9979]","[0.4139, 0.9117]","[0.3092, 0.7462]","[0.3739, 0.5847]","[0.4934, 0.5202]","[0.3633, 0.5533]","[0.3401, 0.3447]","[0.3396, 0.2162]","[0.3439, 0.1004]","[0.475, 0.5302]","[0.4406, 0.285]","[0.4294, 0.1298]","[0.4274, -0.0057]","[0.586, 0.5536]","[0.5943, 0.4004]","[0.5777, 0.5416]","[0.5647, 0.6691]","[0.6969, 0.6095]","[0.6871, 0.5007]","[0.6639, 0.5935]","[0.6486, 0.6901]"
"[0.5924, 0.9967]","[0.4067, 0.9052]","[0.303, 0.7415]","[0.365, 0.5806]","[0.4856, 0.5227]","[0.3601, 0.553]","[0.3357, 0.3452]","[0.336, 0.2174]","[0.3421, 0.1026]","[0.4726, 0.5331]","[0.4355, 0.2908]","[0.4207, 0.1392]","[0.4149, 0.0068]","[0.5836, 0.5558]","[0.5911, 0.3985]","[0.5723, 0.5411]","[0.5568, 0.6714]","[0.6935, 0.6095]","[0.6825, 0.5061]","[0.6592, 0.5991]","[0.6441, 0.6951]"
"[0.5887, 0.9977]","[0.4031, 0.9076]","[0.2996, 0.7428]","[0.3637, 0.583]","[0.4826, 0.5211]","[0.3591, 0.5565]","[0.3353, 0.3457]","[0.3368, 0.2141]","[0.3435, 0.096]","[0.4712, 0.5365]","[0.4337, 0.2807]","[0.4204, 0.116]","[0.4165, -0.0298]","[0.5831, 0.5604]","[0.5871, 0.3983]","[0.5675, 0.5405]","[0.553, 0.6722]","[0.6946, 0.6159]","[0.6789, 0.5076]","[0.6534, 0.5989]","[0.6365, 0.6961]"
"[0.5857, 0.9996]","[0.3997, 0.908]","[0.2985, 0.7461]","[0.3601, 0.5828]","[0.4771, 0.5202]","[0.3578, 0.5543]","[0.3337, 0.3468]","[0.3336, 0.2183]","[0.3398, 0.1018]","[0.469, 0.5334]","[0.43, 0.2911]","[0.4152, 0.141]","[0.4115, 0.0101]","[0.5798, 0.5569]","[0.585, 0.3968]","[0.5678, 0.5409]","[0.5558, 0.6722]","[0.6911, 0.6128]","[0.6775, 0.5048]","[0.6529, 0.5984]","[0.6381, 0.6956]"
"[0.5847, 0.9974]","[0.4009, 0.9079]","[0.2993, 0.7441]","[0.3605, 0.5862]","[0.4782, 0.5255]","[0.355, 0.5508]","[0.3308, 0.3417]","[0.3333, 0.2119]","[0.3412, 0.0949]","[0.4669, 0.5302]","[0.4306, 0.2799]","[0.4176, 0.1189]","[0.4141, -0.0236]","[0.5788, 0.5552]","[0.5817, 0.396]","[0.5638, 0.539]","[0.5515, 0.6683]","[0.6911, 0.6131]","[0.6743, 0.5061]","[0.6503, 0.5963]","[0.6368, 0.6902]"
"[0.5844, 0.9974]","[0.3983, 0.9055]","[0.2976, 0.7409]","[0.3605, 0.5808]","[0.4786, 0.52]","[0.3571, 0.5536]","[0.3338, 0.3426]","[0.3346, 0.2123]","[0.3398, 0.0941]","[0.4681, 0.5319]","[0.4305, 0.2777]","[0.4165, 0.1161]","[0.4127, -0.0258]","[0.5798, 0.555]","[0.5815, 0.396]","[0.5653, 0.5415]","[0.5555, 0.6721]","[0.6925, 0.6103]","[0.6741, 0.5009]","[0.6507, 0.5937]","[0.6389, 0.6891]"
"[0.583, 1.0007]","[0.3988, 0.9099]","[0.2956, 0.7429]","[0.3609, 0.5824]","[0.4787, 0.5195]","[0.3547, 0.5529]","[0.3322, 0.3425]","[0.334, 0.2113]","[0.34, 0.0921]","[0.466, 0.5319]","[0.4274, 0.2721]","[0.4115, 0.1009]","[0.405, -0.0509]","[0.5771, 0.5578]","[0.579, 0.3954]","[0.5632, 0.5385]","[0.5525, 0.6691]","[0.6893, 0.616]","[0.6723, 0.5039]","[0.647, 0.5965]","[0.6316, 0.694]"
"[0.5897, 1.0089]","[0.4028, 0.9128]","[0.2998, 0.7475]","[0.364, 0.5844]","[0.482, 0.5189]","[0.3558, 0.5565]","[0.3321, 0.3443]","[0.3321, 0.2145]","[0.336, 0.0967]","[0.4664, 0.5354]","[0.4264, 0.2869]","[0.4106, 0.1298]","[0.404, -0.008]","[0.5762, 0.5601]","[0.5813, 0.397]","[0.566, 0.5413]","[0.5537, 0.673]","[0.6882, 0.6164]","[0.6769, 0.5034]","[0.6506, 0.5961]","[0.6331, 0.6936]"
"[0.5875, 1.0017]","[0.3994, 0.9105]","[0.2961, 0.7411]","[0.3638, 0.5809]","[0.4854, 0.5255]","[0.3541, 0.5517]","[0.3295, 0.3417]","[0.3317, 0.2116]","[0.3387, 0.0942]","[0.466, 0.5304]","[0.4287, 0.2756]","[0.4148, 0.1117]","[0.4096, -0.0338]","[0.5769, 0.5561]","[0.5808, 0.39]","[0.5596, 0.536]","[0.5425, 0.6686]","[0.6894, 0.6137]","[0.6766, 0.5048]","[0.6499, 0.597]","[0.6314, 0.6935]"
