[0.4243, 0.893],[0.5837, 0.8992],[0.6927, 0.7592],[0.6589, 0.609],[0.5451, 0.5238],[0.6306, 0.5422],[0.6416, 0.3209],[0.6318, 0.1793],[0.6285, 0.0603],[0.5145, 0.5228],[0.5286, 0.2806],[0.5313, 0.1243],[0.5447, -0.0027],[0.4024, 0.5494],[0.4053, 0.4041],[0.4296, 0.539],[0.4516, 0.6529],[0.293, 0.6111],[0.3123, 0.5076],[0.3546, 0.6087],[0.3777, 0.7056]
[0.4364, 0.9728],[0.6066, 0.916],[0.7088, 0.7447],[0.6584, 0.5883],[0.528, 0.5304],[0.6269, 0.5354],[0.6444, 0.3205],[0.6386, 0.1814],[0.6336, 0.0616],[0.515, 0.5226],[0.5244, 0.2719],[0.5376, 0.1022],[0.5478, -0.0387],[0.4051, 0.5586],[0.3963, 0.3917],[0.4313, 0.5344],[0.4479, 0.6575],[0.288, 0.6307],[0.3117, 0.512],[0.3586, 0.6111],[0.3771, 0.7087]
[0.4328, 1.016],[0.6113, 0.923],[0.7082, 0.7464],[0.656, 0.5851],[0.5265, 0.5156],[0.6283, 0.5389],[0.6439, 0.316],[0.6321, 0.1768],[0.6233, 0.0562],[0.5114, 0.5268],[0.52, 0.2658],[0.5283, 0.0907],[0.5378, -0.0481],[0.3976, 0.5662],[0.3956, 0.401],[0.4316, 0.5409],[0.4514, 0.667],[0.2843, 0.6404],[0.3117, 0.5156],[0.3576, 0.606],[0.3773, 0.7025]
[0.4325, 1.0226],[0.6097, 0.9206],[0.706, 0.744],[0.6512, 0.5903],[0.5283, 0.5225],[0.6266, 0.5241],[0.6422, 0.3091],[0.6304, 0.1735],[0.6204, 0.0575],[0.5105, 0.5164],[0.5183, 0.2598],[0.5257, 0.0882],[0.5344, -0.0468],[0.398, 0.559],[0.397, 0.4048],[0.4342, 0.5428],[0.4542, 0.6646],[0.2874, 0.6355],[0.3064, 0.5184],[0.3552, 0.6056],[0.3784, 0.6959]
[0.4233, 1.0277],[0.6036, 0.922],[0.7035, 0.7429],[0.6527, 0.5872],[0.5274, 0.5219],[0.625, 0.5238],[0.6415, 0.308],[0.6295, 0.1732],[0.6189, 0.0577],[0.509, 0.5169],[0.519, 0.2664],[0.5288, 0.1006],[0.538, -0.0283],[0.397, 0.5599],[0.3962, 0.4072],[0.4323, 0.5438],[0.4505, 0.6652],[0.2877, 0.6351],[0.3052, 0.521],[0.3518, 0.6073],[0.3736, 0.6973]
[0.4217, 1.0272],[0.6029, 0.9242],[0.7028, 0.7421],[0.647, 0.5868],[0.5236, 0.5243],[0.6257, 0.5237],[0.6431, 0.3114],[0.6306, 0.1764],[0.6193, 0.0616],[0.5091, 0.5167],[0.5179, 0.2662],[0.5266, 0.0997],[0.5348, -0.0296],[0.3971, 0.5585],[0.3946, 0.4081],[0.4302, 0.544],[0.4484, 0.6648],[0.2876, 0.6328],[0.3022, 0.5189],[0.3479, 0.6053],[0.3696, 0.6952]
[0.4279, 1.0237],[0.6047, 0.9198],[0.7021, 0.7417],[0.6436, 0.5895],[0.5216, 0.5223],[0.6235, 0.5228],[0.6401, 0.308],[0.6273, 0.1725],[0.6153, 0.057],[0.5065, 0.5153],[0.517, 0.2605],[0.5244, 0.0912],[0.5311, -0.0416],[0.3935, 0.5569],[0.3929, 0.4034],[0.4278, 0.5426],[0.4452, 0.6643],[0.2829, 0.6324],[0.2994, 0.5187],[0.3452, 0.6057],[0.3657, 0.6956]
[0.4197, 1.032],[0.5933, 0.9303],[0.6995, 0.7479],[0.6487, 0.5899],[0.5201, 0.5234],[0.6193, 0.5284],[0.6383, 0.3085],[0.626, 0.1726],[0.6146, 0.0549],[0.5024, 0.5204],[0.5182, 0.2669],[0.5275, 0.0971],[0.5355, -0.0383],[0.39, 0.5623],[0.3892, 0.403],[0.4229, 0.5422],[0.4415, 0.666],[0.281, 0.638],[0.2977, 0.5247],[0.3453, 0.6104],[0.3689, 0.7013]
[0.4228, 1.0331],[0.6001, 0.927],[0.7064, 0.7454],[0.6503, 0.5889],[0.5223, 0.5227],[0.6248, 0.5199],[0.6407, 0.3082],[0.6271, 0.1737],[0.6149, 0.0581],[0.5062, 0.513],[0.5216, 0.2721],[0.5321, 0.1077],[0.5431, -0.0225],[0.3929, 0.5554],[0.3939, 0.407],[0.4244, 0.5444],[0.4415, 0.6671],[0.282, 0.6311],[0.2958, 0.5215],[0.3429, 0.6079],[0.3686, 0.6994]
[0.4254, 1.0337],[0.6003, 0.9299],[0.7051, 0.7457],[0.6495, 0.5891],[0.5216, 0.5249],[0.624, 0.5224],[0.6402, 0.3076],[0.6283, 0.1722],[0.6178, 0.0569],[0.5062, 0.5156],[0.5186, 0.2664],[0.5304, 0.0983],[0.5418, -0.0335],[0.3925, 0.5576],[0.3948, 0.4033],[0.4281, 0.5411],[0.4448, 0.6665],[0.2814, 0.6328],[0.2959, 0.5201],[0.3452, 0.6064],[0.3696, 0.6999]
[0.4216, 1.0352],[0.597, 0.9306],[0.6994, 0.7464],[0.6471, 0.5887],[0.5179, 0.5233],[0.6211, 0.5197],[0.6371, 0.3054],[0.6247, 0.1707],[0.6129, 0.0549],[0.5029, 0.513],[0.5148, 0.2608],[0.5239, 0.0918],[0.532, -0.0414],[0.3889, 0.5566],[0.3929, 0.4037],[0.427, 0.5426],[0.4428, 0.666],[0.2786, 0.6334],[0.2966, 0.5185],[0.3451, 0.6072],[0.3675, 0.701]
