"[0.9126, 0.5737]","[0.8782, 0.4318]","[0.7459, 0.3546]","[0.613, 0.3867]","[0.5245, 0.4762]","[0.5394, 0.371]","[0.3426, 0.3556]","[0.2142, 0.3596]","[0.1026, 0.3656]","[0.5144, 0.4752]","[0.2841, 0.4681]","[0.1227, 0.4655]","[-0.0067, 0.4631]","[0.5375, 0.5788]","[0.3976, 0.5894]","[0.5206, 0.5773]","[0.6182, 0.5727]","[0.592, 0.6838]","[0.4812, 0.6783]","[0.5649, 0.6518]","[0.6406, 0.6422]"
"[0.949, 0.5895]","[0.8911, 0.4388]","[0.757, 0.3469]","[0.62, 0.3851]","[0.5228, 0.4724]","[0.5398, 0.3637]","[0.3432, 0.3533]","[0.2167, 0.3656]","[0.1071, 0.3765]","[0.5136, 0.4721]","[0.2715, 0.4589]","[0.0998, 0.4567]","[-0.0398, 0.4494]","[0.5374, 0.5782]","[0.3958, 0.5894]","[0.5077, 0.5852]","[0.6071, 0.5797]","[0.5947, 0.6778]","[0.49, 0.6741]","[0.5626, 0.6529]","[0.638, 0.6399]"
"[0.9642, 0.599]","[0.8925, 0.4432]","[0.7589, 0.3538]","[0.6193, 0.3884]","[0.5182, 0.4736]","[0.5429, 0.3697]","[0.3455, 0.3565]","[0.2203, 0.3669]","[0.1087, 0.3773]","[0.5146, 0.4763]","[0.2705, 0.4581]","[0.1044, 0.4518]","[-0.0301, 0.443]","[0.5377, 0.5828]","[0.3933, 0.5941]","[0.5092, 0.588]","[0.6111, 0.5813]","[0.5938, 0.6832]","[0.4892, 0.6797]","[0.5644, 0.6578]","[0.6402, 0.6439]"
"[0.9715, 0.5992]","[0.8994, 0.4422]","[0.763, 0.3548]","[0.6212, 0.3897]","[0.5143, 0.4696]","[0.5404, 0.3731]","[0.3421, 0.359]","[0.2168, 0.3699]","[0.1047, 0.3804]","[0.5133, 0.4798]","[0.2709, 0.4618]","[0.11, 0.4562]","[-0.0205, 0.4472]","[0.5358, 0.5864]","[0.3905, 0.599]","[0.5078, 0.5917]","[0.6123, 0.5841]","[0.5893, 0.6866]","[0.4851, 0.6839]","[0.563, 0.662]","[0.6418, 0.6488]"
"[0.9715, 0.598]","[0.8956, 0.4384]","[0.7581, 0.3546]","[0.6155, 0.3953]","[0.5098, 0.4751]","[0.5397, 0.3737]","[0.3413, 0.3596]","[0.2158, 0.3718]","[0.103, 0.3832]","[0.5131, 0.4796]","[0.2685, 0.4632]","[0.1035, 0.4582]","[-0.0329, 0.4487]","[0.5357, 0.585]","[0.3901, 0.6006]","[0.5057, 0.5952]","[0.6087, 0.5882]","[0.5887, 0.6838]","[0.4849, 0.6843]","[0.5604, 0.6643]","[0.6358, 0.6525]"
"[0.9724, 0.5984]","[0.9008, 0.4407]","[0.7589, 0.3551]","[0.6115, 0.3977]","[0.5032, 0.4787]","[0.5397, 0.3756]","[0.3402, 0.3617]","[0.2141, 0.3731]","[0.1, 0.3862]","[0.5099, 0.4818]","[0.2541, 0.4634]","[0.0777, 0.4568]","[-0.0694, 0.4475]","[0.5318, 0.5879]","[0.3872, 0.604]","[0.5058, 0.5949]","[0.6096, 0.5857]","[0.5859, 0.6879]","[0.4819, 0.6869]","[0.5605, 0.6636]","[0.6374, 0.6503]"
"[0.9687, 0.6031]","[0.8972, 0.4402]","[0.7567, 0.3554]","[0.6123, 0.396]","[0.506, 0.4841]","[0.5366, 0.3792]","[0.3386, 0.3662]","[0.2131, 0.3767]","[0.1, 0.3898]","[0.5057, 0.4845]","[0.2434, 0.4692]","[0.0657, 0.4609]","[-0.0796, 0.4519]","[0.5265, 0.5905]","[0.3871, 0.6072]","[0.5071, 0.5915]","[0.6119, 0.5801]","[0.5771, 0.6912]","[0.4775, 0.6925]","[0.557, 0.6653]","[0.6343, 0.6497]"
"[0.9713, 0.6072]","[0.8938, 0.4425]","[0.7536, 0.355]","[0.6074, 0.3998]","[0.5045, 0.4901]","[0.5367, 0.3794]","[0.3382, 0.3646]","[0.2151, 0.3748]","[0.1049, 0.3869]","[0.5073, 0.4855]","[0.2513, 0.4703]","[0.0847, 0.4625]","[-0.049, 0.4536]","[0.5286, 0.5905]","[0.3892, 0.6053]","[0.5066, 0.5924]","[0.6108, 0.5835]","[0.5806, 0.6917]","[0.4792, 0.6933]","[0.5566, 0.6677]","[0.6355, 0.6535]"
"[0.9702, 0.6031]","[0.8955, 0.4379]","[0.755, 0.353]","[0.6084, 0.398]","[0.502, 0.4843]","[0.535, 0.3787]","[0.3392, 0.3651]","[0.2143, 0.3753]","[0.1012, 0.3871]","[0.5059, 0.4837]","[0.2473, 0.4684]","[0.0732, 0.4612]","[-0.0701, 0.4522]","[0.5278, 0.589]","[0.3838, 0.6038]","[0.5038, 0.5913]","[0.609, 0.5816]","[0.5802, 0.6899]","[0.4749, 0.6897]","[0.5554, 0.6645]","[0.6342, 0.6511]"
"[0.9674, 0.6043]","[0.8914, 0.4375]","[0.7464, 0.3523]","[0.5993, 0.4014]","[0.4928, 0.4925]","[0.5312, 0.3774]","[0.3324, 0.3644]","[0.2075, 0.3758]","[0.0959, 0.3886]","[0.5031, 0.4838]","[0.243, 0.4693]","[0.0707, 0.4613]","[-0.0684, 0.4524]","[0.5251, 0.5896]","[0.3855, 0.6046]","[0.5081, 0.5895]","[0.6122, 0.5789]","[0.5754, 0.6904]","[0.4744, 0.6885]","[0.5562, 0.6634]","[0.6325, 0.6512]"
"[0.9662, 0.6019]","[0.8912, 0.4383]","[0.7484, 0.3549]","[0.6008, 0.3974]","[0.4926, 0.4847]","[0.5312, 0.3787]","[0.3323, 0.3647]","[0.2078, 0.3753]","[0.0963, 0.3869]","[0.5034, 0.4841]","[0.2453, 0.4696]","[0.0762, 0.4618]","[-0.0599, 0.4526]","[0.5253, 0.59]","[0.3837, 0.6057]","[0.5043, 0.5911]","[0.6094, 0.5808]","[0.5752, 0.6911]","[0.4729, 0.6911]","[0.5526, 0.6666]","[0.63, 0.6546]"
