"[0.9041, 0.5966]","[0.8909, 0.4342]","[0.7628, 0.3554]","[0.6174, 0.3945]","[0.4863, 0.4669]","[0.5624, 0.3303]","[0.3398, 0.3075]","[0.1839, 0.3099]","[0.0517, 0.3088]","[0.5277, 0.4604]","[0.2945, 0.4343]","[0.1271, 0.4257]","[-0.0011, 0.4165]","[0.5379, 0.5936]","[0.3792, 0.5945]","[0.51, 0.592]","[0.6207, 0.5858]","[0.5775, 0.7217]","[0.463, 0.729]","[0.5522, 0.7031]","[0.6364, 0.6847]"
"[0.9698, 0.6044]","[0.9273, 0.4391]","[0.7833, 0.35]","[0.6231, 0.3905]","[0.4872, 0.4646]","[0.5578, 0.3375]","[0.337, 0.3127]","[0.1934, 0.3174]","[0.07, 0.3177]","[0.5219, 0.4608]","[0.2647, 0.4401]","[0.0814, 0.4304]","[-0.0715, 0.4139]","[0.5407, 0.5894]","[0.3679, 0.5983]","[0.499, 0.6005]","[0.6111, 0.5986]","[0.5949, 0.7149]","[0.4671, 0.7198]","[0.5526, 0.6988]","[0.633, 0.6857]"
"[1.0065, 0.6162]","[0.9507, 0.4437]","[0.7983, 0.3455]","[0.6315, 0.3819]","[0.4928, 0.4529]","[0.5618, 0.3381]","[0.3373, 0.3116]","[0.1918, 0.3191]","[0.0643, 0.3228]","[0.5234, 0.4655]","[0.2467, 0.4378]","[0.0486, 0.4278]","[-0.1168, 0.4115]","[0.5429, 0.5942]","[0.3671, 0.6076]","[0.4971, 0.6055]","[0.6107, 0.5983]","[0.601, 0.7164]","[0.4675, 0.7202]","[0.5502, 0.6958]","[0.6304, 0.6781]"
"[1.0378, 0.6154]","[0.9647, 0.4457]","[0.8064, 0.3506]","[0.6347, 0.3815]","[0.4952, 0.4522]","[0.5677, 0.3455]","[0.3436, 0.3157]","[0.1986, 0.3219]","[0.0698, 0.3251]","[0.53, 0.4698]","[0.26, 0.4402]","[0.0675, 0.4238]","[-0.0891, 0.4034]","[0.5474, 0.5963]","[0.3726, 0.6034]","[0.4953, 0.602]","[0.6088, 0.5986]","[0.5987, 0.7163]","[0.4664, 0.7204]","[0.5427, 0.6968]","[0.6235, 0.6778]"
"[1.0482, 0.6151]","[0.9727, 0.4455]","[0.8165, 0.3503]","[0.6456, 0.3752]","[0.4988, 0.4456]","[0.5702, 0.3447]","[0.34, 0.3146]","[0.1921, 0.3189]","[0.0579, 0.3205]","[0.531, 0.464]","[0.2581, 0.4405]","[0.0631, 0.4274]","[-0.0998, 0.4102]","[0.5458, 0.5891]","[0.3623, 0.5961]","[0.4928, 0.5966]","[0.6121, 0.5969]","[0.5919, 0.7093]","[0.455, 0.7181]","[0.5337, 0.6934]","[0.6176, 0.6748]"
"[1.0529, 0.6136]","[0.9754, 0.4422]","[0.8134, 0.3466]","[0.638, 0.3793]","[0.4933, 0.4638]","[0.5731, 0.3448]","[0.3408, 0.3124]","[0.1941, 0.3164]","[0.0595, 0.3176]","[0.5315, 0.4647]","[0.244, 0.441]","[0.0421, 0.4288]","[-0.1262, 0.4131]","[0.546, 0.5894]","[0.3587, 0.5947]","[0.4928, 0.5925]","[0.614, 0.5927]","[0.5936, 0.711]","[0.4532, 0.7181]","[0.5357, 0.6892]","[0.6229, 0.6704]"
"[1.0556, 0.6259]","[0.9755, 0.4541]","[0.8198, 0.3545]","[0.6501, 0.3829]","[0.503, 0.4496]","[0.5669, 0.3528]","[0.3391, 0.3213]","[0.196, 0.3243]","[0.0661, 0.3263]","[0.5271, 0.4731]","[0.2544, 0.4443]","[0.0695, 0.4292]","[-0.0808, 0.412]","[0.5437, 0.5975]","[0.3628, 0.6018]","[0.4962, 0.6018]","[0.6146, 0.6019]","[0.5945, 0.7154]","[0.4588, 0.7182]","[0.5416, 0.6937]","[0.6278, 0.6756]"
"[1.0525, 0.6274]","[0.9665, 0.4546]","[0.8142, 0.3547]","[0.6477, 0.3807]","[0.5043, 0.4506]","[0.5647, 0.3571]","[0.3366, 0.3206]","[0.1918, 0.3218]","[0.0608, 0.3223]","[0.5277, 0.4735]","[0.2649, 0.4449]","[0.0833, 0.4307]","[-0.0629, 0.4162]","[0.545, 0.5959]","[0.365, 0.5991]","[0.4943, 0.597]","[0.6105, 0.5977]","[0.5936, 0.7153]","[0.456, 0.7212]","[0.5361, 0.6945]","[0.6216, 0.6765]"
"[1.0547, 0.6226]","[0.9676, 0.4498]","[0.8156, 0.3525]","[0.6465, 0.3769]","[0.4975, 0.4486]","[0.5676, 0.351]","[0.337, 0.3177]","[0.1882, 0.3213]","[0.0567, 0.3223]","[0.5341, 0.4685]","[0.2677, 0.4434]","[0.0805, 0.4305]","[-0.0729, 0.4154]","[0.552, 0.5931]","[0.3645, 0.5975]","[0.4926, 0.5951]","[0.6101, 0.5958]","[0.5975, 0.7162]","[0.4563, 0.7235]","[0.5356, 0.6956]","[0.6215, 0.6766]"
"[1.0548, 0.6145]","[0.9701, 0.4485]","[0.8142, 0.3504]","[0.6419, 0.3829]","[0.4974, 0.4658]","[0.5638, 0.3553]","[0.3345, 0.321]","[0.1886, 0.3238]","[0.0573, 0.3248]","[0.5301, 0.4719]","[0.2614, 0.4468]","[0.0725, 0.4318]","[-0.0836, 0.4159]","[0.5492, 0.5946]","[0.3635, 0.5998]","[0.4866, 0.5912]","[0.6038, 0.5888]","[0.5982, 0.7164]","[0.4574, 0.7237]","[0.5305, 0.6929]","[0.6152, 0.6739]"
"[1.058, 0.6223]","[0.9724, 0.454]","[0.8197, 0.3533]","[0.647, 0.3823]","[0.5053, 0.4653]","[0.5665, 0.3546]","[0.3376, 0.3214]","[0.1911, 0.3237]","[0.0596, 0.3239]","[0.5344, 0.4715]","[0.2862, 0.4465]","[0.1145, 0.4333]","[-0.0264, 0.419]","[0.5528, 0.595]","[0.3691, 0.5981]","[0.4908, 0.5936]","[0.6072, 0.594]","[0.5983, 0.7181]","[0.4595, 0.7241]","[0.533, 0.6964]","[0.618, 0.679]"
