"[0.8924, 0.5903]","[0.8715, 0.4141]","[0.7361, 0.347]","[0.5837, 0.4128]","[0.4753, 0.4948]","[0.5591, 0.3339]","[0.3284, 0.307]","[0.1856, 0.3124]","[0.0668, 0.3138]","[0.5201, 0.465]","[0.2652, 0.4473]","[0.1047, 0.4382]","[-0.0175, 0.4281]","[0.533, 0.5963]","[0.3604, 0.6031]","[0.5023, 0.5985]","[0.6141, 0.5932]","[0.5863, 0.725]","[0.4562, 0.726]","[0.5564, 0.7008]","[0.6432, 0.6868]"
"[0.9681, 0.6154]","[0.9305, 0.4494]","[0.7788, 0.3505]","[0.6032, 0.395]","[0.4799, 0.4844]","[0.565, 0.3408]","[0.3317, 0.317]","[0.1862, 0.3197]","[0.0627, 0.3194]","[0.5274, 0.4665]","[0.258, 0.4392]","[0.077, 0.4286]","[-0.07, 0.4156]","[0.5459, 0.5918]","[0.3508, 0.5969]","[0.4912, 0.6016]","[0.6097, 0.6056]","[0.6062, 0.7159]","[0.4592, 0.7177]","[0.5526, 0.698]","[0.6415, 0.6904]"
"[1.0079, 0.6167]","[0.9396, 0.4398]","[0.7757, 0.3413]","[0.5974, 0.3927]","[0.4722, 0.503]","[0.5619, 0.3426]","[0.3297, 0.3168]","[0.1872, 0.3248]","[0.0607, 0.3251]","[0.5267, 0.4714]","[0.261, 0.4417]","[0.0861, 0.4263]","[-0.0578, 0.4087]","[0.5477, 0.5986]","[0.3562, 0.6035]","[0.4978, 0.5951]","[0.6189, 0.5897]","[0.6057, 0.7217]","[0.4643, 0.7178]","[0.5549, 0.6899]","[0.6436, 0.6736]"
"[1.0289, 0.6151]","[0.9562, 0.4521]","[0.7913, 0.3578]","[0.6146, 0.3934]","[0.4824, 0.4855]","[0.5641, 0.3485]","[0.3316, 0.3203]","[0.1891, 0.3261]","[0.0595, 0.3273]","[0.527, 0.4736]","[0.2528, 0.4422]","[0.0692, 0.4281]","[-0.0872, 0.4102]","[0.5458, 0.5989]","[0.3479, 0.606]","[0.4844, 0.6019]","[0.6072, 0.5985]","[0.6043, 0.7172]","[0.4612, 0.7183]","[0.5437, 0.6922]","[0.6317, 0.6771]"
"[1.0393, 0.618]","[0.9627, 0.4485]","[0.7882, 0.3484]","[0.6064, 0.3935]","[0.4739, 0.491]","[0.5638, 0.3536]","[0.3296, 0.326]","[0.1859, 0.329]","[0.0549, 0.3287]","[0.5251, 0.4782]","[0.2315, 0.4529]","[0.038, 0.438]","[-0.1263, 0.4223]","[0.5438, 0.6028]","[0.3467, 0.6041]","[0.483, 0.5891]","[0.6052, 0.5857]","[0.601, 0.7233]","[0.4499, 0.7201]","[0.534, 0.6865]","[0.625, 0.673]"
"[1.052, 0.6337]","[0.9676, 0.4625]","[0.7881, 0.3594]","[0.6019, 0.4063]","[0.473, 0.5122]","[0.5685, 0.3606]","[0.3374, 0.3302]","[0.1973, 0.3356]","[0.0699, 0.3388]","[0.5304, 0.4836]","[0.2647, 0.4523]","[0.0973, 0.4312]","[-0.038, 0.4121]","[0.5472, 0.607]","[0.3568, 0.6041]","[0.4837, 0.5897]","[0.6046, 0.5883]","[0.5976, 0.7254]","[0.4528, 0.722]","[0.5287, 0.6906]","[0.6187, 0.6763]"
"[1.0465, 0.6152]","[0.953, 0.4426]","[0.775, 0.3464]","[0.5973, 0.4076]","[0.4677, 0.5064]","[0.5505, 0.3544]","[0.323, 0.3286]","[0.1806, 0.334]","[0.0527, 0.3382]","[0.5178, 0.4783]","[0.2413, 0.4529]","[0.0549, 0.4377]","[-0.0989, 0.4235]","[0.539, 0.6033]","[0.3473, 0.6048]","[0.4826, 0.5942]","[0.6044, 0.5943]","[0.5949, 0.7267]","[0.4495, 0.7269]","[0.5324, 0.6957]","[0.6207, 0.6826]"
"[1.0497, 0.63]","[0.9563, 0.4554]","[0.7754, 0.3566]","[0.5942, 0.4102]","[0.4682, 0.5165]","[0.5555, 0.3579]","[0.3264, 0.3283]","[0.1865, 0.3313]","[0.0603, 0.3313]","[0.5232, 0.4784]","[0.2702, 0.4505]","[0.1111, 0.4335]","[-0.0162, 0.4183]","[0.5425, 0.602]","[0.3551, 0.602]","[0.4872, 0.5923]","[0.6064, 0.5936]","[0.5917, 0.7229]","[0.4474, 0.7213]","[0.5319, 0.6922]","[0.6235, 0.6801]"
"[1.0485, 0.6084]","[0.9476, 0.438]","[0.7625, 0.3467]","[0.5829, 0.4151]","[0.4622, 0.5263]","[0.5526, 0.3549]","[0.3235, 0.33]","[0.1805, 0.3366]","[0.0515, 0.3405]","[0.522, 0.4779]","[0.2503, 0.4528]","[0.0699, 0.4354]","[-0.0801, 0.4175]","[0.5436, 0.6014]","[0.3449, 0.6026]","[0.4798, 0.5946]","[0.6038, 0.5974]","[0.5994, 0.724]","[0.4472, 0.7271]","[0.5292, 0.6972]","[0.6196, 0.6859]"
"[1.0508, 0.625]","[0.9581, 0.4527]","[0.773, 0.3534]","[0.5875, 0.4136]","[0.4616, 0.5225]","[0.5572, 0.3591]","[0.3274, 0.3294]","[0.1871, 0.3319]","[0.0593, 0.3319]","[0.5257, 0.4801]","[0.2725, 0.4499]","[0.1161, 0.4306]","[-0.011, 0.4139]","[0.5455, 0.6043]","[0.3483, 0.6044]","[0.48, 0.594]","[0.6022, 0.5954]","[0.5959, 0.7266]","[0.4504, 0.7257]","[0.5342, 0.695]","[0.626, 0.6839]"
"[1.0489, 0.6143]","[0.947, 0.4435]","[0.7624, 0.3521]","[0.5811, 0.42]","[0.4562, 0.5314]","[0.5541, 0.3557]","[0.3215, 0.3297]","[0.1777, 0.3363]","[0.0501, 0.3403]","[0.5261, 0.4783]","[0.2694, 0.4528]","[0.1037, 0.4346]","[-0.0317, 0.4172]","[0.5471, 0.6042]","[0.349, 0.6027]","[0.4797, 0.5998]","[0.6013, 0.6074]","[0.5976, 0.7283]","[0.4505, 0.7286]","[0.5306, 0.7064]","[0.6179, 0.7025]"
