"[0.435, 0.8303]","[0.3134, 0.763]","[0.2476, 0.6561]","[0.2217, 0.56]","[0.1886, 0.4831]","[0.2904, 0.5441]","[0.2331, 0.3425]","[0.2077, 0.2018]","[0.1931, 0.0833]","[0.4253, 0.5381]","[0.4203, 0.3008]","[0.4351, 0.1292]","[0.4489, -0.0158]","[0.546, 0.5811]","[0.6089, 0.3642]","[0.6498, 0.2172]","[0.6814, 0.0978]","[0.6478, 0.6525]","[0.7002, 0.592]","[0.6919, 0.6023]","[0.6863, 0.6263]"
"[0.4351, 0.8834]","[0.3301, 0.8384]","[0.2723, 0.7589]","[0.2729, 0.6932]","[0.259, 0.6487]","[0.2983, 0.5605]","[0.2464, 0.3565]","[0.2177, 0.2177]","[0.1981, 0.0959]","[0.4385, 0.5363]","[0.4406, 0.2889]","[0.4565, 0.108]","[0.4639, -0.0388]","[0.5604, 0.5779]","[0.6431, 0.377]","[0.7, 0.2314]","[0.7414, 0.1202]","[0.661, 0.6586]","[0.7095, 0.5846]","[0.6832, 0.6204]","[0.6595, 0.6786]"
"[0.5128, 1.0116]","[0.3657, 0.9921]","[0.3043, 0.8747]","[0.4053, 0.7625]","[0.5076, 0.6873]","[0.3066, 0.5784]","[0.2458, 0.3637]","[0.2205, 0.2131]","[0.2, 0.0832]","[0.4466, 0.5461]","[0.4373, 0.2963]","[0.4518, 0.1202]","[0.4575, -0.0346]","[0.5663, 0.5836]","[0.6373, 0.3778]","[0.6851, 0.2299]","[0.7165, 0.1042]","[0.6722, 0.678]","[0.709, 0.5869]","[0.6787, 0.6496]","[0.6526, 0.7304]"
"[0.4754, 1.0733]","[0.3635, 1.0071]","[0.332, 0.8616]","[0.4625, 0.7403]","[0.5965, 0.6637]","[0.2997, 0.5958]","[0.2385, 0.3651]","[0.2199, 0.211]","[0.2045, 0.0805]","[0.4401, 0.5651]","[0.4422, 0.3109]","[0.4591, 0.1386]","[0.4628, -0.007]","[0.5571, 0.6023]","[0.6321, 0.3894]","[0.6872, 0.2409]","[0.721, 0.1093]","[0.6653, 0.692]","[0.7035, 0.5897]","[0.681, 0.6498]","[0.6543, 0.7271]"
"[0.4845, 1.0958]","[0.369, 1.0256]","[0.3306, 0.8662]","[0.4714, 0.7382]","[0.6128, 0.6637]","[0.3022, 0.5941]","[0.2372, 0.3642]","[0.2126, 0.2127]","[0.1948, 0.0827]","[0.4457, 0.5577]","[0.4505, 0.2882]","[0.4668, 0.1071]","[0.4746, -0.0461]","[0.5597, 0.5951]","[0.6368, 0.3783]","[0.6876, 0.2372]","[0.7177, 0.1088]","[0.6622, 0.6925]","[0.7051, 0.5818]","[0.6893, 0.6462]","[0.6663, 0.7303]"
"[0.4801, 1.113]","[0.3685, 1.0355]","[0.33, 0.8783]","[0.4629, 0.7479]","[0.6057, 0.6669]","[0.3001, 0.6003]","[0.2322, 0.3665]","[0.2082, 0.2123]","[0.1923, 0.0797]","[0.4415, 0.5642]","[0.4418, 0.2925]","[0.4561, 0.1159]","[0.4618, -0.0327]","[0.5588, 0.6039]","[0.6351, 0.384]","[0.6825, 0.243]","[0.7096, 0.1164]","[0.6639, 0.7043]","[0.6975, 0.5863]","[0.6693, 0.6412]","[0.6377, 0.7173]"
"[0.4968, 1.1174]","[0.3757, 1.034]","[0.3311, 0.8616]","[0.474, 0.7197]","[0.6288, 0.6465]","[0.298, 0.5955]","[0.2301, 0.3603]","[0.2069, 0.2081]","[0.1919, 0.0771]","[0.4412, 0.5586]","[0.4408, 0.289]","[0.4556, 0.1162]","[0.4636, -0.0295]","[0.56, 0.5965]","[0.6341, 0.3797]","[0.6786, 0.2407]","[0.7066, 0.1172]","[0.6658, 0.6926]","[0.7005, 0.5789]","[0.6762, 0.6391]","[0.649, 0.7183]"
"[0.4745, 1.1137]","[0.3698, 1.026]","[0.3371, 0.8582]","[0.4761, 0.7203]","[0.628, 0.6441]","[0.3003, 0.5911]","[0.2349, 0.3604]","[0.213, 0.2107]","[0.198, 0.0827]","[0.4409, 0.5595]","[0.4398, 0.2959]","[0.4533, 0.1332]","[0.4605, -0.0047]","[0.5601, 0.6]","[0.6365, 0.3842]","[0.6798, 0.2451]","[0.7065, 0.1172]","[0.668, 0.6977]","[0.7044, 0.5797]","[0.6801, 0.6386]","[0.6568, 0.7161]"
"[0.4976, 1.1164]","[0.3763, 1.0334]","[0.3351, 0.8569]","[0.4808, 0.7178]","[0.6353, 0.6498]","[0.2998, 0.5955]","[0.2303, 0.3638]","[0.2043, 0.2126]","[0.1876, 0.0816]","[0.441, 0.5589]","[0.4368, 0.2903]","[0.4483, 0.1159]","[0.4546, -0.0317]","[0.5591, 0.5931]","[0.6321, 0.379]","[0.678, 0.2402]","[0.7067, 0.1159]","[0.6657, 0.6845]","[0.6979, 0.5757]","[0.6749, 0.6456]","[0.65, 0.7328]"
"[0.477, 1.1152]","[0.371, 1.0299]","[0.3379, 0.8599]","[0.4746, 0.7186]","[0.6247, 0.6394]","[0.2988, 0.5928]","[0.2355, 0.3598]","[0.2144, 0.2081]","[0.1995, 0.0779]","[0.4401, 0.56]","[0.4414, 0.2923]","[0.4564, 0.122]","[0.4637, -0.024]","[0.5584, 0.5985]","[0.6325, 0.3834]","[0.6773, 0.2445]","[0.7048, 0.1164]","[0.6658, 0.6953]","[0.7006, 0.5758]","[0.6762, 0.6353]","[0.6518, 0.7139]"
"[0.4923, 1.1212]","[0.3748, 1.0333]","[0.3329, 0.8545]","[0.4745, 0.7125]","[0.6276, 0.6419]","[0.2986, 0.5935]","[0.2305, 0.3595]","[0.2064, 0.207]","[0.1909, 0.0769]","[0.4406, 0.559]","[0.4386, 0.2909]","[0.4488, 0.1186]","[0.4539, -0.0248]","[0.5594, 0.5957]","[0.6364, 0.378]","[0.6804, 0.239]","[0.7077, 0.1155]","[0.6666, 0.6916]","[0.701, 0.5798]","[0.6744, 0.6412]","[0.6461, 0.7219]"
"[0.476, 1.1105]","[0.3693, 1.0289]","[0.3363, 0.86]","[0.4745, 0.7195]","[0.6224, 0.6402]","[0.2982, 0.5905]","[0.2334, 0.3594]","[0.2106, 0.2079]","[0.1958, 0.0794]","[0.44, 0.5569]","[0.4419, 0.293]","[0.4573, 0.1247]","[0.4668, -0.0178]","[0.5584, 0.5931]","[0.6365, 0.3783]","[0.6809, 0.2407]","[0.7085, 0.1153]","[0.6656, 0.6861]","[0.699, 0.5764]","[0.6744, 0.6373]","[0.6502, 0.7154]"
"[0.4936, 1.1179]","[0.3673, 1.0306]","[0.324, 0.8517]","[0.4626, 0.709]","[0.6086, 0.632]","[0.2987, 0.5931]","[0.2298, 0.3594]","[0.2035, 0.208]","[0.187, 0.0784]","[0.4401, 0.5622]","[0.4378, 0.2948]","[0.4486, 0.1282]","[0.4555, -0.0127]","[0.5565, 0.5998]","[0.6323, 0.3853]","[0.6772, 0.2461]","[0.706, 0.1182]","[0.662, 0.6996]","[0.6982, 0.578]","[0.6713, 0.6435]","[0.6412, 0.731]"
