"[0.5016, 0.8523]","[0.6465, 0.8432]","[0.702, 0.8002]","[0.6232, 0.7313]","[0.507, 0.6734]","[0.6787, 0.5452]","[0.7625, 0.3385]","[0.7957, 0.1943]","[0.8127, 0.0689]","[0.5426, 0.5118]","[0.5503, 0.29]","[0.5405, 0.1267]","[0.5271, -0.0061]","[0.4334, 0.544]","[0.3648, 0.3566]","[0.3199, 0.2229]","[0.2944, 0.1134]","[0.3543, 0.6163]","[0.3037, 0.5264]","[0.2867, 0.5032]","[0.2871, 0.4931]"
"[0.507, 0.9418]","[0.6265, 0.9213]","[0.6614, 0.8394]","[0.5411, 0.743]","[0.414, 0.6548]","[0.6793, 0.5618]","[0.7492, 0.3541]","[0.7805, 0.2113]","[0.803, 0.0796]","[0.5431, 0.5343]","[0.5416, 0.2893]","[0.5351, 0.1209]","[0.5288, -0.0168]","[0.434, 0.5772]","[0.3422, 0.3621]","[0.2811, 0.2273]","[0.2392, 0.1149]","[0.3448, 0.6668]","[0.3134, 0.5852]","[0.3369, 0.6545]","[0.3674, 0.7347]"
"[0.4814, 1.0205]","[0.6101, 0.9828]","[0.6597, 0.8677]","[0.5446, 0.7402]","[0.4226, 0.6395]","[0.685, 0.5691]","[0.7543, 0.3444]","[0.783, 0.2011]","[0.798, 0.0744]","[0.5451, 0.5466]","[0.5378, 0.3038]","[0.5243, 0.1471]","[0.5107, 0.023]","[0.434, 0.5909]","[0.3459, 0.3669]","[0.2884, 0.2291]","[0.2514, 0.1166]","[0.3466, 0.6822]","[0.3133, 0.571]","[0.3366, 0.6359]","[0.3699, 0.7174]"
"[0.4928, 1.0462]","[0.6207, 0.9922]","[0.6639, 0.8625]","[0.5365, 0.7427]","[0.4081, 0.653]","[0.685, 0.565]","[0.7538, 0.3399]","[0.7849, 0.1969]","[0.8026, 0.0694]","[0.5454, 0.5433]","[0.542, 0.295]","[0.5266, 0.1384]","[0.5114, 0.014]","[0.4325, 0.5883]","[0.345, 0.3625]","[0.2856, 0.2223]","[0.2458, 0.1094]","[0.3437, 0.6819]","[0.3122, 0.5845]","[0.3372, 0.6619]","[0.3696, 0.7526]"
"[0.4865, 1.0714]","[0.6172, 1.0107]","[0.6562, 0.8654]","[0.5271, 0.7336]","[0.3942, 0.6424]","[0.6904, 0.5696]","[0.7582, 0.3386]","[0.7878, 0.1949]","[0.8027, 0.0664]","[0.5472, 0.5477]","[0.5379, 0.3002]","[0.5215, 0.1485]","[0.5058, 0.0271]","[0.4308, 0.5918]","[0.3454, 0.3665]","[0.291, 0.2261]","[0.2519, 0.111]","[0.3418, 0.6833]","[0.3111, 0.5754]","[0.3335, 0.6503]","[0.3599, 0.7413]"
"[0.4948, 1.0788]","[0.6242, 1.0105]","[0.6559, 0.8598]","[0.521, 0.7291]","[0.3928, 0.6336]","[0.6925, 0.5684]","[0.7595, 0.3348]","[0.7895, 0.1921]","[0.806, 0.0635]","[0.5517, 0.5503]","[0.5396, 0.301]","[0.5222, 0.1496]","[0.5066, 0.0263]","[0.4381, 0.5955]","[0.3489, 0.3672]","[0.2916, 0.2265]","[0.2522, 0.1079]","[0.3515, 0.6868]","[0.3137, 0.5709]","[0.3342, 0.6528]","[0.3613, 0.7501]"
"[0.4956, 1.0813]","[0.6241, 1.0059]","[0.6513, 0.8525]","[0.513, 0.7178]","[0.3856, 0.6206]","[0.6937, 0.5664]","[0.7601, 0.3329]","[0.7897, 0.1893]","[0.8046, 0.0606]","[0.553, 0.5484]","[0.5421, 0.2988]","[0.5251, 0.1464]","[0.5091, 0.0238]","[0.4388, 0.5934]","[0.3489, 0.3662]","[0.2911, 0.226]","[0.252, 0.1094]","[0.3522, 0.6831]","[0.3117, 0.5701]","[0.3306, 0.6451]","[0.3583, 0.7347]"
"[0.4936, 1.0824]","[0.6253, 1.0101]","[0.6553, 0.8573]","[0.5171, 0.7224]","[0.3895, 0.6251]","[0.6934, 0.5676]","[0.7602, 0.3333]","[0.7902, 0.1882]","[0.8051, 0.0581]","[0.5527, 0.5479]","[0.5419, 0.2915]","[0.5256, 0.1332]","[0.5093, 0.0061]","[0.4389, 0.5931]","[0.3488, 0.3638]","[0.2919, 0.2228]","[0.2534, 0.1057]","[0.3524, 0.6855]","[0.3125, 0.5694]","[0.3321, 0.6445]","[0.3597, 0.7353]"
"[0.5013, 1.0871]","[0.6291, 1.0101]","[0.6544, 0.8512]","[0.5125, 0.7165]","[0.3806, 0.6193]","[0.6943, 0.5684]","[0.7618, 0.3333]","[0.791, 0.1876]","[0.8045, 0.0576]","[0.5525, 0.5486]","[0.5433, 0.2913]","[0.5282, 0.1322]","[0.512, 0.004]","[0.4375, 0.5929]","[0.3475, 0.3662]","[0.2917, 0.2246]","[0.2514, 0.1079]","[0.3522, 0.6826]","[0.3125, 0.5729]","[0.3337, 0.6475]","[0.3608, 0.7369]"
"[0.4884, 1.0975]","[0.615, 1.0265]","[0.6476, 0.867]","[0.5074, 0.7273]","[0.3741, 0.6278]","[0.6921, 0.5763]","[0.7595, 0.3375]","[0.7892, 0.1906]","[0.8039, 0.0599]","[0.5514, 0.5536]","[0.5421, 0.2962]","[0.5266, 0.139]","[0.5108, 0.0135]","[0.4378, 0.5945]","[0.3488, 0.368]","[0.2919, 0.2249]","[0.251, 0.1067]","[0.3531, 0.6819]","[0.3124, 0.5751]","[0.3301, 0.6486]","[0.3549, 0.7359]"
"[0.4961, 1.0975]","[0.6246, 1.0225]","[0.6511, 0.8577]","[0.5083, 0.7169]","[0.3753, 0.618]","[0.6958, 0.572]","[0.7618, 0.3332]","[0.7915, 0.1861]","[0.8073, 0.0559]","[0.5553, 0.5516]","[0.5426, 0.294]","[0.5259, 0.1383]","[0.5108, 0.0151]","[0.4405, 0.5956]","[0.3488, 0.3657]","[0.2915, 0.2225]","[0.2521, 0.1044]","[0.3545, 0.6845]","[0.3108, 0.5768]","[0.3297, 0.6557]","[0.3568, 0.7476]"
