"[0.3424, 0.8662]","[0.5201, 0.8482]","[0.6967, 0.7377]","[0.8449, 0.6842]","[0.9666, 0.6782]","[0.5642, 0.4417]","[0.611, 0.2373]","[0.6354, 0.0995]","[0.6469, -0.0137]","[0.4534, 0.4412]","[0.4956, 0.3076]","[0.5002, 0.4666]","[0.4893, 0.5958]","[0.3406, 0.4688]","[0.3964, 0.3774]","[0.4096, 0.5348]","[0.4017, 0.639]","[0.2254, 0.5161]","[0.2856, 0.4404]","[0.3121, 0.557]","[0.3127, 0.6341]"
"[0.3242, 0.8851]","[0.5152, 0.8506]","[0.707, 0.7352]","[0.8694, 0.6741]","[0.9957, 0.6708]","[0.5687, 0.441]","[0.6087, 0.2321]","[0.6339, 0.0928]","[0.6527, -0.0206]","[0.456, 0.4395]","[0.4916, 0.298]","[0.5008, 0.4587]","[0.5013, 0.5878]","[0.3437, 0.4663]","[0.3891, 0.3814]","[0.4026, 0.5365]","[0.3985, 0.6391]","[0.227, 0.5082]","[0.2815, 0.4443]","[0.3084, 0.5526]","[0.3108, 0.6236]"
"[0.3211, 0.8871]","[0.5148, 0.8467]","[0.7031, 0.7355]","[0.8543, 0.6747]","[0.9772, 0.6722]","[0.5715, 0.4386]","[0.6107, 0.2315]","[0.638, 0.0996]","[0.6574, -0.0083]","[0.4589, 0.4372]","[0.4933, 0.2998]","[0.5003, 0.4683]","[0.4966, 0.5975]","[0.3458, 0.4632]","[0.3859, 0.3835]","[0.3999, 0.5449]","[0.3956, 0.6438]","[0.2274, 0.502]","[0.2763, 0.4418]","[0.3026, 0.5536]","[0.3052, 0.62]"
"[0.3233, 0.8894]","[0.517, 0.8495]","[0.7015, 0.7387]","[0.8555, 0.6756]","[0.9825, 0.6737]","[0.5703, 0.4383]","[0.611, 0.2282]","[0.6364, 0.0914]","[0.6549, -0.0208]","[0.4557, 0.4377]","[0.4936, 0.3011]","[0.501, 0.4681]","[0.4995, 0.6002]","[0.3434, 0.465]","[0.3868, 0.3887]","[0.4011, 0.5482]","[0.3978, 0.6496]","[0.2256, 0.5047]","[0.2776, 0.4472]","[0.3035, 0.5595]","[0.3074, 0.63]"
"[0.3206, 0.8904]","[0.5203, 0.8501]","[0.7059, 0.7377]","[0.8614, 0.6743]","[0.989, 0.6741]","[0.571, 0.438]","[0.6138, 0.2273]","[0.6392, 0.0886]","[0.6575, -0.0245]","[0.4567, 0.4388]","[0.4978, 0.3024]","[0.5032, 0.4701]","[0.4992, 0.6014]","[0.3438, 0.4671]","[0.3881, 0.3917]","[0.3993, 0.5541]","[0.393, 0.6529]","[0.2252, 0.5062]","[0.2771, 0.4501]","[0.3017, 0.5639]","[0.3046, 0.6316]"
"[0.3195, 0.8917]","[0.5155, 0.8515]","[0.7029, 0.7383]","[0.8588, 0.6745]","[0.9867, 0.6761]","[0.5727, 0.4415]","[0.6132, 0.2308]","[0.6376, 0.0945]","[0.6558, -0.0166]","[0.4582, 0.441]","[0.497, 0.3028]","[0.5021, 0.4705]","[0.4987, 0.6022]","[0.3446, 0.4679]","[0.3878, 0.3914]","[0.3994, 0.5546]","[0.3948, 0.6554]","[0.2255, 0.5064]","[0.2767, 0.4483]","[0.3019, 0.5616]","[0.3058, 0.6308]"
"[0.3171, 0.888]","[0.5112, 0.8511]","[0.6986, 0.7383]","[0.8557, 0.6741]","[0.9855, 0.6774]","[0.5707, 0.4412]","[0.613, 0.2297]","[0.6398, 0.0938]","[0.6601, -0.0166]","[0.4563, 0.4413]","[0.4974, 0.3028]","[0.5023, 0.4736]","[0.4986, 0.6063]","[0.343, 0.4686]","[0.3859, 0.3947]","[0.398, 0.5593]","[0.3937, 0.6587]","[0.2238, 0.5068]","[0.2746, 0.4519]","[0.3003, 0.5663]","[0.305, 0.6336]"
"[0.318, 0.8887]","[0.5121, 0.8523]","[0.6999, 0.7381]","[0.8575, 0.6725]","[0.9881, 0.6768]","[0.5686, 0.4413]","[0.6101, 0.2236]","[0.6345, 0.0832]","[0.6523, -0.031]","[0.4534, 0.4419]","[0.4902, 0.3041]","[0.4971, 0.4727]","[0.4959, 0.6049]","[0.3401, 0.4695]","[0.3807, 0.391]","[0.3964, 0.5545]","[0.3948, 0.6575]","[0.2217, 0.5087]","[0.272, 0.4479]","[0.2999, 0.5627]","[0.3064, 0.6345]"
"[0.317, 0.89]","[0.5141, 0.8534]","[0.7005, 0.7375]","[0.8571, 0.673]","[0.9852, 0.6768]","[0.5684, 0.4403]","[0.6077, 0.2256]","[0.633, 0.0888]","[0.6511, -0.0217]","[0.4548, 0.4419]","[0.4907, 0.3052]","[0.5005, 0.4726]","[0.5009, 0.6054]","[0.3421, 0.4706]","[0.3798, 0.3913]","[0.3973, 0.5555]","[0.397, 0.6598]","[0.2245, 0.5116]","[0.2701, 0.4506]","[0.3002, 0.5651]","[0.3091, 0.6381]"
"[0.317, 0.8894]","[0.5138, 0.8495]","[0.7006, 0.7349]","[0.859, 0.6726]","[0.9876, 0.6779]","[0.5682, 0.4388]","[0.6091, 0.2237]","[0.6342, 0.0855]","[0.6529, -0.0269]","[0.454, 0.4395]","[0.4898, 0.3071]","[0.4981, 0.4782]","[0.4983, 0.6112]","[0.3408, 0.4682]","[0.38, 0.3916]","[0.3982, 0.5561]","[0.3985, 0.66]","[0.2226, 0.5087]","[0.2694, 0.452]","[0.2989, 0.5659]","[0.3078, 0.6364]"
"[0.3164, 0.8916]","[0.511, 0.853]","[0.7008, 0.7357]","[0.8629, 0.6713]","[0.9945, 0.6763]","[0.5675, 0.441]","[0.609, 0.2247]","[0.6358, 0.0874]","[0.6553, -0.0251]","[0.4541, 0.4406]","[0.4921, 0.3038]","[0.4994, 0.4745]","[0.4976, 0.6078]","[0.341, 0.4683]","[0.3818, 0.3907]","[0.3974, 0.5541]","[0.3951, 0.6576]","[0.2223, 0.5083]","[0.2722, 0.4511]","[0.3008, 0.5658]","[0.3073, 0.6375]"
"[0.3129, 0.8949]","[0.5062, 0.8559]","[0.6977, 0.7367]","[0.8613, 0.6729]","[0.9955, 0.6779]","[0.5669, 0.4425]","[0.6095, 0.2254]","[0.6338, 0.086]","[0.6502, -0.0289]","[0.4524, 0.4412]","[0.486, 0.3068]","[0.4948, 0.4769]","[0.4958, 0.6078]","[0.3383, 0.4676]","[0.377, 0.3925]","[0.3944, 0.557]","[0.3942, 0.6601]","[0.2196, 0.5063]","[0.2681, 0.451]","[0.296, 0.5663]","[0.3031, 0.6369]"
