"[0.6431, 0.8784]","[0.442, 0.8522]","[0.2519, 0.7444]","[0.1088, 0.6783]","[-0.0099, 0.6514]","[0.3955, 0.4403]","[0.3741, 0.2232]","[0.3702, 0.0901]","[0.369, -0.0215]","[0.5188, 0.4386]","[0.5221, 0.3235]","[0.528, 0.4873]","[0.533, 0.6133]","[0.6394, 0.4673]","[0.6337, 0.3785]","[0.6266, 0.5357]","[0.6152, 0.634]","[0.752, 0.518]","[0.7496, 0.4124]","[0.7273, 0.5227]","[0.7109, 0.602]"
"[0.6563, 0.9123]","[0.4467, 0.8407]","[0.2533, 0.7372]","[0.0723, 0.6646]","[-0.067, 0.6365]","[0.3891, 0.4449]","[0.3664, 0.2165]","[0.3599, 0.0826]","[0.3571, -0.0349]","[0.5113, 0.4433]","[0.5126, 0.3286]","[0.5319, 0.4934]","[0.5467, 0.6131]","[0.6345, 0.4729]","[0.6365, 0.3817]","[0.6334, 0.5332]","[0.6211, 0.6378]","[0.7457, 0.5234]","[0.7544, 0.4238]","[0.7243, 0.5246]","[0.7031, 0.6007]"
"[0.6498, 0.9108]","[0.449, 0.8486]","[0.2546, 0.7435]","[0.0724, 0.6715]","[-0.0741, 0.6432]","[0.3847, 0.4334]","[0.3636, 0.2059]","[0.3576, 0.071]","[0.3558, -0.0468]","[0.5135, 0.4349]","[0.5166, 0.3278]","[0.5274, 0.4949]","[0.5329, 0.6139]","[0.6363, 0.4654]","[0.6401, 0.3928]","[0.6291, 0.5468]","[0.6138, 0.6502]","[0.7524, 0.5117]","[0.758, 0.4246]","[0.7301, 0.5276]","[0.7076, 0.6056]"
"[0.6568, 0.9206]","[0.4569, 0.854]","[0.2618, 0.7469]","[0.0712, 0.6704]","[-0.0729, 0.6395]","[0.389, 0.4441]","[0.3649, 0.213]","[0.3551, 0.08]","[0.3485, -0.0355]","[0.5139, 0.4427]","[0.5191, 0.3355]","[0.5306, 0.5053]","[0.536, 0.6196]","[0.6344, 0.4703]","[0.6408, 0.3902]","[0.6293, 0.5493]","[0.6151, 0.6507]","[0.7474, 0.5158]","[0.7569, 0.4255]","[0.727, 0.5328]","[0.7061, 0.6096]"
"[0.6537, 0.923]","[0.4526, 0.8567]","[0.2584, 0.746]","[0.0748, 0.6729]","[-0.068, 0.6465]","[0.3883, 0.4435]","[0.3686, 0.2125]","[0.3629, 0.076]","[0.3612, -0.0456]","[0.5171, 0.4442]","[0.5263, 0.3334]","[0.5317, 0.5041]","[0.5312, 0.6186]","[0.6397, 0.4737]","[0.6473, 0.392]","[0.6323, 0.55]","[0.614, 0.6493]","[0.7541, 0.5203]","[0.7661, 0.427]","[0.7365, 0.531]","[0.713, 0.6042]"
"[0.651, 0.9157]","[0.4537, 0.8559]","[0.263, 0.7459]","[0.0807, 0.6727]","[-0.0602, 0.6464]","[0.3879, 0.4403]","[0.3669, 0.2075]","[0.3596, 0.0705]","[0.3566, -0.0507]","[0.514, 0.4417]","[0.5184, 0.3351]","[0.5308, 0.5048]","[0.5353, 0.6177]","[0.6366, 0.4707]","[0.6429, 0.393]","[0.6306, 0.5496]","[0.6117, 0.6451]","[0.7521, 0.5164]","[0.7648, 0.4229]","[0.7333, 0.5265]","[0.7065, 0.5986]"
"[0.6529, 0.9188]","[0.4525, 0.8502]","[0.2672, 0.7492]","[0.0804, 0.675]","[-0.0602, 0.6425]","[0.3904, 0.4397]","[0.368, 0.2058]","[0.3602, 0.0688]","[0.3572, -0.0548]","[0.515, 0.4421]","[0.5164, 0.3386]","[0.529, 0.5112]","[0.538, 0.6233]","[0.6382, 0.4738]","[0.6392, 0.3941]","[0.627, 0.5536]","[0.6121, 0.6497]","[0.7503, 0.5233]","[0.762, 0.4241]","[0.7254, 0.531]","[0.7003, 0.604]"
"[0.6552, 0.9212]","[0.4573, 0.8564]","[0.2647, 0.7479]","[0.0849, 0.6745]","[-0.0532, 0.6441]","[0.3916, 0.4464]","[0.3681, 0.213]","[0.3589, 0.0766]","[0.3521, -0.0434]","[0.5186, 0.4469]","[0.5212, 0.3385]","[0.5334, 0.5057]","[0.5409, 0.6255]","[0.6411, 0.4768]","[0.6462, 0.4]","[0.6362, 0.5551]","[0.6231, 0.6572]","[0.7564, 0.5235]","[0.7664, 0.428]","[0.7362, 0.5305]","[0.7137, 0.6073]"
"[0.6557, 0.9192]","[0.461, 0.8566]","[0.2667, 0.7495]","[0.0877, 0.6777]","[-0.0504, 0.6488]","[0.3905, 0.4496]","[0.3694, 0.2173]","[0.3602, 0.08]","[0.3539, -0.0412]","[0.5174, 0.4487]","[0.5207, 0.3386]","[0.536, 0.5042]","[0.5435, 0.6232]","[0.64, 0.4767]","[0.6477, 0.4014]","[0.6399, 0.5569]","[0.6244, 0.6599]","[0.7557, 0.5215]","[0.7651, 0.4299]","[0.7388, 0.5352]","[0.716, 0.6132]"
"[0.6553, 0.919]","[0.459, 0.8556]","[0.2667, 0.7526]","[0.0905, 0.6809]","[-0.0479, 0.6485]","[0.3905, 0.4499]","[0.371, 0.2208]","[0.3638, 0.0848]","[0.3592, -0.0357]","[0.5179, 0.4493]","[0.5209, 0.3384]","[0.5352, 0.5032]","[0.5419, 0.6218]","[0.6407, 0.4772]","[0.6482, 0.3976]","[0.6399, 0.5508]","[0.6239, 0.655]","[0.7564, 0.5215]","[0.7656, 0.4278]","[0.7401, 0.5308]","[0.7176, 0.6099]"
"[0.6522, 0.9202]","[0.4542, 0.8572]","[0.2633, 0.7526]","[0.0866, 0.6795]","[-0.0531, 0.6479]","[0.3873, 0.4508]","[0.3699, 0.2201]","[0.3634, 0.0823]","[0.3622, -0.0409]","[0.5154, 0.4514]","[0.5205, 0.3385]","[0.5324, 0.5039]","[0.5377, 0.6248]","[0.6387, 0.4803]","[0.6459, 0.3976]","[0.6356, 0.5522]","[0.6187, 0.6603]","[0.7545, 0.525]","[0.7642, 0.426]","[0.737, 0.5269]","[0.7121, 0.6083]"
