"[0.3509, 0.8406]","[0.5394, 0.8446]","[0.7188, 0.7548]","[0.8699, 0.6957]","[0.9904, 0.6764]","[0.6133, 0.4537]","[0.6672, 0.2404]","[0.6827, 0.0992]","[0.69, -0.0109]","[0.4944, 0.4489]","[0.4663, 0.3208]","[0.4378, 0.4655]","[0.4358, 0.5955]","[0.3817, 0.4683]","[0.3662, 0.3896]","[0.3573, 0.538]","[0.3627, 0.6462]","[0.283, 0.5035]","[0.2785, 0.4159]","[0.2838, 0.5292]","[0.2991, 0.6157]"
"[0.3488, 0.8703]","[0.5267, 0.8456]","[0.7177, 0.7564]","[0.8851, 0.6964]","[1.0186, 0.6787]","[0.6208, 0.4526]","[0.6667, 0.2345]","[0.6801, 0.0937]","[0.6868, -0.02]","[0.5025, 0.4449]","[0.4702, 0.3267]","[0.4456, 0.4828]","[0.4511, 0.6017]","[0.3892, 0.4607]","[0.3549, 0.3963]","[0.3574, 0.5504]","[0.378, 0.641]","[0.2836, 0.4885]","[0.2701, 0.4172]","[0.2786, 0.5342]","[0.3012, 0.6086]"
"[0.3593, 0.8777]","[0.5382, 0.849]","[0.7277, 0.7528]","[0.8979, 0.6916]","[1.0355, 0.6791]","[0.6249, 0.4466]","[0.6691, 0.2252]","[0.6819, 0.0862]","[0.6899, -0.0249]","[0.5056, 0.4386]","[0.4723, 0.3218]","[0.4478, 0.4798]","[0.4515, 0.6034]","[0.3928, 0.4548]","[0.3557, 0.39]","[0.3594, 0.5443]","[0.3807, 0.6404]","[0.2889, 0.4825]","[0.2737, 0.4152]","[0.2829, 0.5331]","[0.3076, 0.6102]"
"[0.3606, 0.8761]","[0.5416, 0.8451]","[0.7277, 0.7522]","[0.8933, 0.6927]","[1.0308, 0.677]","[0.6253, 0.4426]","[0.6683, 0.2151]","[0.6802, 0.0701]","[0.6869, -0.0471]","[0.504, 0.4341]","[0.4718, 0.3235]","[0.4455, 0.4839]","[0.4472, 0.6085]","[0.3901, 0.4507]","[0.3567, 0.3889]","[0.3592, 0.543]","[0.3794, 0.6401]","[0.286, 0.4793]","[0.2736, 0.4138]","[0.2831, 0.5312]","[0.3074, 0.6091]"
"[0.3618, 0.879]","[0.5438, 0.8459]","[0.7314, 0.7495]","[0.9014, 0.6886]","[1.0419, 0.6745]","[0.6242, 0.4416]","[0.6654, 0.2176]","[0.6772, 0.0739]","[0.684, -0.0425]","[0.5044, 0.4336]","[0.4725, 0.3211]","[0.4471, 0.4806]","[0.4479, 0.6086]","[0.3914, 0.4507]","[0.3567, 0.3943]","[0.3588, 0.5494]","[0.3776, 0.6505]","[0.288, 0.4792]","[0.2735, 0.4155]","[0.2821, 0.5334]","[0.3046, 0.6138]"
"[0.3632, 0.8789]","[0.5477, 0.8448]","[0.736, 0.7492]","[0.9044, 0.6888]","[1.0419, 0.6751]","[0.6276, 0.44]","[0.6685, 0.2179]","[0.6793, 0.076]","[0.6853, -0.0398]","[0.5071, 0.4323]","[0.4766, 0.3191]","[0.4518, 0.4766]","[0.4522, 0.6026]","[0.3937, 0.4501]","[0.3622, 0.391]","[0.3644, 0.5449]","[0.3824, 0.6449]","[0.2896, 0.4792]","[0.2781, 0.4144]","[0.287, 0.5302]","[0.3094, 0.6091]"
"[0.3626, 0.8807]","[0.5458, 0.8454]","[0.735, 0.7482]","[0.9051, 0.6895]","[1.044, 0.6735]","[0.627, 0.4427]","[0.6679, 0.2165]","[0.6786, 0.0734]","[0.6845, -0.043]","[0.5057, 0.4356]","[0.4765, 0.3218]","[0.4506, 0.4794]","[0.4507, 0.6031]","[0.3915, 0.4535]","[0.3613, 0.3906]","[0.3634, 0.5441]","[0.3821, 0.6417]","[0.2875, 0.4826]","[0.2785, 0.4131]","[0.2869, 0.5289]","[0.3081, 0.6076]"
"[0.3656, 0.8771]","[0.5475, 0.8439]","[0.7355, 0.7501]","[0.9033, 0.6915]","[1.0398, 0.6748]","[0.6308, 0.4397]","[0.671, 0.2075]","[0.6802, 0.0581]","[0.6838, -0.0639]","[0.5092, 0.4328]","[0.4782, 0.3227]","[0.4531, 0.4821]","[0.4544, 0.6056]","[0.3946, 0.4504]","[0.3627, 0.3917]","[0.3657, 0.5458]","[0.3842, 0.6431]","[0.2897, 0.4791]","[0.2788, 0.4118]","[0.2887, 0.5276]","[0.3109, 0.6057]"
"[0.3645, 0.8804]","[0.5477, 0.8439]","[0.7381, 0.7473]","[0.9088, 0.6873]","[1.0487, 0.6735]","[0.6296, 0.4404]","[0.6719, 0.2142]","[0.6829, 0.0693]","[0.6879, -0.0488]","[0.5091, 0.4339]","[0.4768, 0.3209]","[0.4527, 0.4795]","[0.4543, 0.6051]","[0.3956, 0.4515]","[0.3618, 0.392]","[0.3656, 0.5454]","[0.3848, 0.645]","[0.2918, 0.48]","[0.2783, 0.4127]","[0.2883, 0.5273]","[0.3105, 0.6063]"
"[0.3654, 0.8784]","[0.5495, 0.8442]","[0.7381, 0.7495]","[0.9049, 0.6895]","[1.0418, 0.6743]","[0.6305, 0.4384]","[0.6739, 0.2105]","[0.6846, 0.0632]","[0.6887, -0.0569]","[0.5087, 0.4322]","[0.4777, 0.325]","[0.4527, 0.4843]","[0.4529, 0.609]","[0.3949, 0.4502]","[0.3621, 0.3921]","[0.3657, 0.5446]","[0.3841, 0.6427]","[0.291, 0.4789]","[0.2792, 0.4123]","[0.289, 0.5265]","[0.3116, 0.6043]"
"[0.3657, 0.8761]","[0.5489, 0.8423]","[0.7393, 0.7465]","[0.9116, 0.6893]","[1.0495, 0.6749]","[0.6302, 0.4375]","[0.6747, 0.2047]","[0.6848, 0.0537]","[0.6876, -0.0695]","[0.5093, 0.4318]","[0.474, 0.3262]","[0.4488, 0.4844]","[0.4503, 0.609]","[0.3959, 0.4498]","[0.3596, 0.3963]","[0.3636, 0.5484]","[0.3832, 0.6468]","[0.2928, 0.4774]","[0.2786, 0.415]","[0.287, 0.5291]","[0.31, 0.607]"
"[0.3667, 0.8803]","[0.5504, 0.8441]","[0.7411, 0.7467]","[0.913, 0.6887]","[1.053, 0.6748]","[0.6314, 0.4389]","[0.6739, 0.2107]","[0.6848, 0.0644]","[0.6888, -0.0539]","[0.5111, 0.4325]","[0.4782, 0.3227]","[0.4535, 0.4821]","[0.4532, 0.6101]","[0.3978, 0.4507]","[0.3646, 0.3965]","[0.3687, 0.5527]","[0.3869, 0.6544]","[0.2942, 0.4795]","[0.2803, 0.417]","[0.2901, 0.5345]","[0.3129, 0.6145]"
"[0.3672, 0.8845]","[0.5513, 0.8497]","[0.7427, 0.7498]","[0.9115, 0.685]","[1.0487, 0.6697]","[0.6314, 0.4413]","[0.6745, 0.2103]","[0.6853, 0.0641]","[0.6898, -0.0546]","[0.5115, 0.4348]","[0.4766, 0.3266]","[0.453, 0.481]","[0.454, 0.604]","[0.3993, 0.4522]","[0.3624, 0.3979]","[0.3681, 0.5488]","[0.3883, 0.6469]","[0.2963, 0.4791]","[0.2808, 0.4171]","[0.2903, 0.5324]","[0.3145, 0.6107]"
"[0.3647, 0.8841]","[0.5484, 0.8469]","[0.7395, 0.7463]","[0.9083, 0.683]","[1.0472, 0.6698]","[0.627, 0.4425]","[0.668, 0.214]","[0.6779, 0.0706]","[0.6814, -0.0447]","[0.5086, 0.4343]","[0.4738, 0.3289]","[0.4497, 0.4837]","[0.45, 0.6058]","[0.3964, 0.4505]","[0.3614, 0.3971]","[0.366, 0.5471]","[0.3856, 0.6442]","[0.2932, 0.477]","[0.2784, 0.4185]","[0.2878, 0.5321]","[0.3115, 0.6086]"
"[0.3637, 0.8829]","[0.5447, 0.8484]","[0.734, 0.7486]","[0.9022, 0.6847]","[1.0425, 0.6695]","[0.6292, 0.442]","[0.6717, 0.2107]","[0.6812, 0.0649]","[0.684, -0.0524]","[0.5104, 0.4353]","[0.4725, 0.3302]","[0.449, 0.4861]","[0.4524, 0.6056]","[0.3977, 0.4517]","[0.3599, 0.3954]","[0.3653, 0.5457]","[0.3869, 0.6401]","[0.294, 0.4784]","[0.2778, 0.4163]","[0.2887, 0.531]","[0.3143, 0.6074]"
"[0.3567, 0.8803]","[0.5401, 0.8438]","[0.7322, 0.7442]","[0.8998, 0.6817]","[1.0378, 0.6664]","[0.624, 0.4412]","[0.6642, 0.2191]","[0.6746, 0.0819]","[0.6796, -0.0259]","[0.5046, 0.4326]","[0.4702, 0.3311]","[0.4476, 0.4866]","[0.4491, 0.6094]","[0.3915, 0.4476]","[0.3545, 0.3993]","[0.3603, 0.5502]","[0.3815, 0.6472]","[0.2875, 0.4729]","[0.2703, 0.4197]","[0.2816, 0.5349]","[0.3082, 0.6115]"
