"[0.6341, 0.8859]","[0.441, 0.8582]","[0.2632, 0.7503]","[0.1147, 0.6849]","[-0.0107, 0.6619]","[0.3916, 0.4449]","[0.378, 0.229]","[0.3823, 0.0913]","[0.3907, -0.0199]","[0.5092, 0.4464]","[0.5129, 0.2962]","[0.521, 0.4383]","[0.5273, 0.561]","[0.6289, 0.481]","[0.6286, 0.3958]","[0.6237, 0.5389]","[0.6134, 0.6354]","[0.744, 0.5381]","[0.7326, 0.4568]","[0.7111, 0.5579]","[0.6966, 0.6317]"
"[0.6383, 0.9087]","[0.4387, 0.8498]","[0.2529, 0.7388]","[0.0789, 0.6721]","[-0.0589, 0.6489]","[0.3848, 0.437]","[0.3756, 0.2154]","[0.3747, 0.0813]","[0.376, -0.0341]","[0.5069, 0.4413]","[0.5029, 0.2895]","[0.5127, 0.4475]","[0.5227, 0.5772]","[0.6242, 0.4761]","[0.6225, 0.402]","[0.6169, 0.5589]","[0.6063, 0.6678]","[0.7353, 0.5268]","[0.7203, 0.4524]","[0.7012, 0.5576]","[0.6886, 0.6359]"
"[0.6334, 0.9137]","[0.4384, 0.8532]","[0.2539, 0.7428]","[0.0799, 0.6733]","[-0.0612, 0.652]","[0.3787, 0.4336]","[0.3705, 0.2055]","[0.3712, 0.0653]","[0.3759, -0.056]","[0.5025, 0.4399]","[0.5042, 0.294]","[0.5098, 0.451]","[0.5158, 0.5791]","[0.6215, 0.4752]","[0.6251, 0.405]","[0.6147, 0.5603]","[0.5988, 0.668]","[0.7343, 0.526]","[0.724, 0.4553]","[0.7034, 0.5604]","[0.6859, 0.6388]"
"[0.6337, 0.9198]","[0.439, 0.8549]","[0.2523, 0.7411]","[0.0747, 0.6725]","[-0.067, 0.6524]","[0.3805, 0.4384]","[0.3652, 0.2124]","[0.3598, 0.0784]","[0.3579, -0.0356]","[0.5014, 0.4431]","[0.5019, 0.2909]","[0.5078, 0.4469]","[0.514, 0.5746]","[0.619, 0.4787]","[0.6252, 0.4029]","[0.6153, 0.5567]","[0.601, 0.6643]","[0.7318, 0.5299]","[0.7253, 0.4533]","[0.7065, 0.5547]","[0.691, 0.6319]"
"[0.6312, 0.9213]","[0.4362, 0.8543]","[0.2519, 0.741]","[0.0768, 0.6729]","[-0.0654, 0.654]","[0.3799, 0.436]","[0.3677, 0.2121]","[0.3651, 0.075]","[0.3669, -0.0443]","[0.501, 0.4416]","[0.5018, 0.2931]","[0.5058, 0.4465]","[0.5114, 0.5728]","[0.6189, 0.4778]","[0.6253, 0.4052]","[0.6113, 0.5567]","[0.5934, 0.6642]","[0.7323, 0.5298]","[0.7264, 0.4534]","[0.7049, 0.5538]","[0.6859, 0.6318]"
"[0.6281, 0.9169]","[0.4343, 0.8514]","[0.2497, 0.7405]","[0.076, 0.6743]","[-0.0649, 0.6578]","[0.378, 0.4369]","[0.3623, 0.2128]","[0.3565, 0.0772]","[0.3554, -0.0412]","[0.4995, 0.4414]","[0.4989, 0.2916]","[0.5045, 0.4455]","[0.5117, 0.5717]","[0.6172, 0.4775]","[0.6241, 0.4042]","[0.6132, 0.5564]","[0.5977, 0.6636]","[0.7298, 0.5288]","[0.7246, 0.4523]","[0.7067, 0.5521]","[0.6911, 0.6289]"
"[0.63, 0.9163]","[0.4373, 0.8527]","[0.2503, 0.7388]","[0.0778, 0.6721]","[-0.0607, 0.6567]","[0.379, 0.4383]","[0.3625, 0.2117]","[0.3582, 0.0763]","[0.3589, -0.0383]","[0.4989, 0.4425]","[0.4987, 0.2938]","[0.5043, 0.4455]","[0.5107, 0.5721]","[0.6163, 0.4781]","[0.6225, 0.4074]","[0.6147, 0.5577]","[0.602, 0.6633]","[0.7299, 0.5293]","[0.7235, 0.453]","[0.7066, 0.5513]","[0.6918, 0.6275]"
"[0.628, 0.9176]","[0.4346, 0.8528]","[0.2484, 0.7385]","[0.0742, 0.6685]","[-0.0652, 0.6518]","[0.3795, 0.44]","[0.3671, 0.2142]","[0.3649, 0.0758]","[0.3672, -0.0433]","[0.5003, 0.4445]","[0.5038, 0.2931]","[0.5069, 0.4417]","[0.5103, 0.5665]","[0.6178, 0.4799]","[0.6272, 0.4023]","[0.6129, 0.5513]","[0.5939, 0.6594]","[0.7308, 0.5319]","[0.7283, 0.4546]","[0.7075, 0.5541]","[0.6883, 0.6331]"
"[0.6279, 0.9162]","[0.4375, 0.8524]","[0.2517, 0.7389]","[0.0785, 0.6712]","[-0.0594, 0.6566]","[0.3778, 0.4405]","[0.3625, 0.2147]","[0.3577, 0.0782]","[0.3576, -0.0388]","[0.498, 0.4439]","[0.499, 0.2937]","[0.5039, 0.443]","[0.5091, 0.5673]","[0.6152, 0.4778]","[0.623, 0.4041]","[0.6118, 0.5535]","[0.5954, 0.6595]","[0.7289, 0.5281]","[0.7238, 0.4547]","[0.7051, 0.5541]","[0.6881, 0.6312]"
"[0.624, 0.9118]","[0.4355, 0.8487]","[0.2521, 0.7403]","[0.0792, 0.6723]","[-0.0598, 0.6545]","[0.3768, 0.4364]","[0.3644, 0.2095]","[0.3618, 0.0716]","[0.3636, -0.0483]","[0.4989, 0.4407]","[0.4994, 0.2923]","[0.5033, 0.4435]","[0.5102, 0.5694]","[0.6176, 0.4768]","[0.6247, 0.4041]","[0.6112, 0.558]","[0.5943, 0.6672]","[0.7311, 0.5282]","[0.7256, 0.4547]","[0.7045, 0.5573]","[0.6859, 0.6358]"
"[0.6241, 0.9115]","[0.4346, 0.8467]","[0.2481, 0.7363]","[0.0703, 0.6685]","[-0.071, 0.6521]","[0.3736, 0.4383]","[0.3555, 0.2096]","[0.3473, 0.0747]","[0.3427, -0.0385]","[0.4941, 0.4431]","[0.4973, 0.2931]","[0.504, 0.4411]","[0.5093, 0.5665]","[0.6114, 0.4781]","[0.6224, 0.4069]","[0.6109, 0.558]","[0.5923, 0.6666]","[0.7236, 0.5277]","[0.7243, 0.4565]","[0.7025, 0.5556]","[0.6803, 0.6336]"
