"[0.6516, 0.8645]","[0.4695, 0.8609]","[0.2861, 0.7626]","[0.1321, 0.701]","[0.0022, 0.6768]","[0.379, 0.4622]","[0.3372, 0.2379]","[0.3273, 0.0983]","[0.3246, -0.0154]","[0.4947, 0.4542]","[0.5389, 0.3237]","[0.5719, 0.4911]","[0.5777, 0.6184]","[0.6109, 0.4754]","[0.6563, 0.3994]","[0.6676, 0.56]","[0.6498, 0.6626]","[0.7168, 0.5144]","[0.7388, 0.4145]","[0.7414, 0.5324]","[0.7299, 0.6202]"
"[0.6436, 0.8958]","[0.459, 0.8476]","[0.2766, 0.7527]","[0.0968, 0.6913]","[-0.0404, 0.668]","[0.3694, 0.4444]","[0.3294, 0.2078]","[0.3139, 0.0639]","[0.3101, -0.0644]","[0.4957, 0.4418]","[0.5343, 0.3214]","[0.5613, 0.4952]","[0.57, 0.6168]","[0.6178, 0.4687]","[0.6546, 0.3857]","[0.6558, 0.5501]","[0.6344, 0.6517]","[0.7205, 0.5145]","[0.7531, 0.4123]","[0.7371, 0.5231]","[0.7138, 0.5967]"
"[0.6383, 0.8925]","[0.4563, 0.8443]","[0.2708, 0.7477]","[0.0919, 0.6832]","[-0.0488, 0.6629]","[0.3642, 0.4404]","[0.3242, 0.2096]","[0.3089, 0.0775]","[0.3026, -0.037]","[0.4913, 0.4392]","[0.5241, 0.3207]","[0.5529, 0.4845]","[0.5654, 0.6105]","[0.6096, 0.4659]","[0.643, 0.3959]","[0.6438, 0.5527]","[0.6296, 0.6597]","[0.7182, 0.5054]","[0.7438, 0.4203]","[0.7293, 0.525]","[0.7104, 0.6038]"
"[0.6393, 0.8909]","[0.4578, 0.8453]","[0.2734, 0.7496]","[0.0947, 0.6837]","[-0.0466, 0.6636]","[0.3624, 0.4431]","[0.3258, 0.2118]","[0.3096, 0.0788]","[0.3014, -0.0385]","[0.4901, 0.4408]","[0.5249, 0.3206]","[0.5551, 0.4845]","[0.5684, 0.6093]","[0.6087, 0.4665]","[0.6481, 0.3947]","[0.6505, 0.5542]","[0.6352, 0.6634]","[0.7163, 0.5072]","[0.7465, 0.4194]","[0.7354, 0.5265]","[0.717, 0.6076]"
"[0.6374, 0.8941]","[0.4554, 0.846]","[0.2709, 0.7472]","[0.0952, 0.6812]","[-0.0451, 0.6596]","[0.3617, 0.4402]","[0.327, 0.2137]","[0.3118, 0.0836]","[0.3045, -0.0311]","[0.4908, 0.4376]","[0.5248, 0.3193]","[0.5544, 0.4849]","[0.5681, 0.6113]","[0.6102, 0.4639]","[0.647, 0.3959]","[0.6494, 0.5551]","[0.6358, 0.663]","[0.7196, 0.5049]","[0.7473, 0.4202]","[0.7344, 0.5273]","[0.7158, 0.6074]"
"[0.6364, 0.8934]","[0.4554, 0.847]","[0.2693, 0.747]","[0.0934, 0.6815]","[-0.0456, 0.6606]","[0.3628, 0.4402]","[0.3238, 0.2142]","[0.3064, 0.0833]","[0.298, -0.0309]","[0.4903, 0.4383]","[0.5245, 0.3196]","[0.5525, 0.4818]","[0.5642, 0.6049]","[0.6085, 0.4648]","[0.6444, 0.3963]","[0.6456, 0.5536]","[0.6308, 0.6597]","[0.7181, 0.5051]","[0.7438, 0.4188]","[0.7313, 0.525]","[0.7133, 0.605]"
"[0.6352, 0.8923]","[0.4534, 0.8477]","[0.2674, 0.747]","[0.0892, 0.6817]","[-0.0519, 0.659]","[0.3615, 0.4373]","[0.3228, 0.2034]","[0.306, 0.068]","[0.2982, -0.0488]","[0.4886, 0.4374]","[0.5246, 0.3207]","[0.5526, 0.4841]","[0.5635, 0.6062]","[0.607, 0.4651]","[0.6444, 0.394]","[0.6458, 0.5518]","[0.6298, 0.6557]","[0.7162, 0.5067]","[0.7446, 0.4172]","[0.7315, 0.5248]","[0.7125, 0.604]"
"[0.6318, 0.8937]","[0.4476, 0.8452]","[0.259, 0.7437]","[0.0782, 0.6782]","[-0.0656, 0.6576]","[0.3594, 0.4344]","[0.3222, 0.203]","[0.3087, 0.0692]","[0.3024, -0.0463]","[0.4858, 0.4355]","[0.5201, 0.3228]","[0.5488, 0.4829]","[0.5595, 0.6032]","[0.6041, 0.4649]","[0.6389, 0.3992]","[0.6413, 0.5527]","[0.6267, 0.656]","[0.7136, 0.5075]","[0.7383, 0.4235]","[0.7259, 0.5257]","[0.7086, 0.6028]"
"[0.6335, 0.8947]","[0.4508, 0.8474]","[0.2646, 0.7473]","[0.0842, 0.6811]","[-0.059, 0.6609]","[0.3587, 0.4379]","[0.3234, 0.2057]","[0.3076, 0.0711]","[0.2991, -0.0461]","[0.4859, 0.4382]","[0.5185, 0.323]","[0.5455, 0.4869]","[0.5566, 0.609]","[0.6046, 0.4657]","[0.6399, 0.3985]","[0.6417, 0.5556]","[0.6274, 0.66]","[0.7143, 0.5074]","[0.738, 0.4217]","[0.7269, 0.5278]","[0.7108, 0.6061]"
"[0.6321, 0.8948]","[0.4506, 0.8472]","[0.2673, 0.7489]","[0.0898, 0.683]","[-0.0519, 0.6614]","[0.3595, 0.439]","[0.3227, 0.2072]","[0.3081, 0.0737]","[0.3007, -0.042]","[0.4871, 0.4386]","[0.5181, 0.3259]","[0.5456, 0.4883]","[0.5565, 0.6103]","[0.6061, 0.4656]","[0.6381, 0.4]","[0.6414, 0.554]","[0.6281, 0.6566]","[0.7155, 0.5065]","[0.7369, 0.4248]","[0.7264, 0.5288]","[0.7115, 0.6043]"
"[0.6332, 0.8916]","[0.4513, 0.8481]","[0.2653, 0.7475]","[0.0864, 0.6817]","[-0.057, 0.6608]","[0.3588, 0.4359]","[0.3232, 0.2055]","[0.3107, 0.074]","[0.3053, -0.0389]","[0.4856, 0.4356]","[0.5195, 0.325]","[0.5478, 0.4856]","[0.5581, 0.6059]","[0.6037, 0.462]","[0.6371, 0.3996]","[0.6401, 0.5531]","[0.6252, 0.655]","[0.7129, 0.5013]","[0.7355, 0.4222]","[0.7249, 0.5264]","[0.7078, 0.6028]"
