"[0.6227, 0.9575]","[0.4007, 0.9156]","[0.2165, 0.8033]","[0.0629, 0.7333]","[-0.0682, 0.6926]","[0.3897, 0.4621]","[0.3632, 0.2059]","[0.3559, 0.0531]","[0.3524, -0.0654]","[0.5291, 0.4637]","[0.5489, 0.3042]","[0.5582, 0.4727]","[0.5614, 0.6089]","[0.6621, 0.4983]","[0.6792, 0.3651]","[0.6805, 0.526]","[0.6707, 0.6443]","[0.7864, 0.5521]","[0.8073, 0.413]","[0.7919, 0.5055]","[0.7685, 0.5991]"
"[0.5922, 0.9748]","[0.3847, 0.892]","[0.1983, 0.7705]","[0.0178, 0.6945]","[-0.14, 0.6677]","[0.3715, 0.434]","[0.3573, 0.1923]","[0.3541, 0.0571]","[0.3559, -0.0584]","[0.5147, 0.4428]","[0.5376, 0.2923]","[0.5414, 0.4791]","[0.5414, 0.6149]","[0.6518, 0.489]","[0.6813, 0.3559]","[0.6654, 0.5095]","[0.6405, 0.6224]","[0.7718, 0.5541]","[0.809, 0.4281]","[0.7727, 0.517]","[0.7381, 0.591]"
"[0.5962, 0.9762]","[0.3911, 0.8895]","[0.1958, 0.7571]","[0.0047, 0.6809]","[-0.1623, 0.6601]","[0.3657, 0.4284]","[0.3495, 0.1894]","[0.3401, 0.0594]","[0.3323, -0.0541]","[0.5078, 0.4348]","[0.5338, 0.286]","[0.5402, 0.4776]","[0.5422, 0.6115]","[0.644, 0.4813]","[0.6758, 0.3557]","[0.6605, 0.5176]","[0.6399, 0.6295]","[0.7684, 0.5474]","[0.8037, 0.4272]","[0.7689, 0.5218]","[0.7379, 0.597]"
"[0.5927, 0.9717]","[0.3836, 0.89]","[0.1937, 0.7703]","[0.0111, 0.6872]","[-0.1437, 0.6507]","[0.3611, 0.4279]","[0.3466, 0.1787]","[0.3487, 0.0408]","[0.3541, -0.078]","[0.5042, 0.4346]","[0.5265, 0.2893]","[0.5383, 0.479]","[0.5395, 0.6171]","[0.6434, 0.4802]","[0.6694, 0.3575]","[0.6598, 0.5157]","[0.6363, 0.6289]","[0.7671, 0.5456]","[0.8023, 0.4257]","[0.769, 0.5173]","[0.7339, 0.5923]"
"[0.5937, 0.9825]","[0.3836, 0.8912]","[0.19, 0.7633]","[-0.0003, 0.6847]","[-0.1655, 0.6618]","[0.3616, 0.4322]","[0.3452, 0.1885]","[0.3415, 0.0499]","[0.3404, -0.0711]","[0.5028, 0.4391]","[0.525, 0.2942]","[0.5363, 0.4823]","[0.54, 0.6176]","[0.641, 0.4844]","[0.664, 0.3591]","[0.6562, 0.5183]","[0.6383, 0.6332]","[0.7644, 0.5492]","[0.796, 0.4268]","[0.7654, 0.5166]","[0.7378, 0.5915]"
"[0.5907, 0.9729]","[0.385, 0.896]","[0.1932, 0.771]","[0.006, 0.6884]","[-0.1536, 0.6532]","[0.3607, 0.4299]","[0.3464, 0.1779]","[0.3448, 0.0366]","[0.3462, -0.0848]","[0.5018, 0.437]","[0.5231, 0.2911]","[0.5363, 0.4795]","[0.5372, 0.6175]","[0.6398, 0.4816]","[0.6673, 0.3565]","[0.6597, 0.5176]","[0.6352, 0.6352]","[0.7646, 0.5455]","[0.8052, 0.4237]","[0.7746, 0.5133]","[0.7378, 0.59]"
"[0.5957, 0.9873]","[0.389, 0.8917]","[0.1923, 0.7616]","[-0.0063, 0.6808]","[-0.1771, 0.6572]","[0.3632, 0.4345]","[0.3447, 0.1911]","[0.3408, 0.0546]","[0.3385, -0.0645]","[0.5021, 0.4385]","[0.5214, 0.2991]","[0.5365, 0.487]","[0.5425, 0.6233]","[0.6405, 0.4818]","[0.6636, 0.361]","[0.6566, 0.5212]","[0.6382, 0.6363]","[0.7629, 0.546]","[0.797, 0.4252]","[0.7649, 0.5156]","[0.7369, 0.5915]"
"[0.5875, 0.9705]","[0.3823, 0.8966]","[0.191, 0.7708]","[0.009, 0.6858]","[-0.1463, 0.6502]","[0.3586, 0.4301]","[0.3458, 0.1771]","[0.3434, 0.0352]","[0.3443, -0.088]","[0.5011, 0.4366]","[0.5259, 0.291]","[0.5364, 0.4797]","[0.5357, 0.6189]","[0.6386, 0.481]","[0.6703, 0.3558]","[0.6604, 0.5147]","[0.6353, 0.6317]","[0.7632, 0.5442]","[0.8051, 0.4196]","[0.7749, 0.5078]","[0.7383, 0.5845]"
"[0.5873, 0.9796]","[0.3823, 0.8893]","[0.1861, 0.7621]","[-0.0138, 0.6854]","[-0.1878, 0.6659]","[0.3581, 0.4345]","[0.3403, 0.1918]","[0.3338, 0.0527]","[0.3287, -0.0683]","[0.4998, 0.4395]","[0.5186, 0.3044]","[0.5355, 0.4921]","[0.5422, 0.6282]","[0.6377, 0.4832]","[0.6626, 0.3627]","[0.6561, 0.5204]","[0.6364, 0.6369]","[0.7599, 0.5462]","[0.7952, 0.4237]","[0.764, 0.5164]","[0.7318, 0.5975]"
"[0.5816, 0.9723]","[0.376, 0.8936]","[0.1815, 0.766]","[-0.0126, 0.6855]","[-0.1771, 0.6577]","[0.3486, 0.4303]","[0.3361, 0.173]","[0.3379, 0.0282]","[0.3427, -0.0982]","[0.4904, 0.4356]","[0.5148, 0.2946]","[0.531, 0.4855]","[0.5343, 0.6263]","[0.6279, 0.4786]","[0.6577, 0.3589]","[0.6508, 0.5202]","[0.6282, 0.6389]","[0.7529, 0.5397]","[0.7899, 0.4179]","[0.7601, 0.5119]","[0.7261, 0.5933]"
"[0.5809, 0.9797]","[0.3734, 0.8838]","[0.1807, 0.7626]","[-0.0189, 0.6863]","[-0.1877, 0.6653]","[0.3475, 0.433]","[0.3297, 0.1821]","[0.3291, 0.0422]","[0.3318, -0.0795]","[0.4865, 0.4376]","[0.5048, 0.307]","[0.5221, 0.4925]","[0.5312, 0.6294]","[0.6249, 0.48]","[0.6487, 0.3599]","[0.6407, 0.5169]","[0.6218, 0.6343]","[0.7471, 0.5424]","[0.7819, 0.4218]","[0.7474, 0.5125]","[0.7173, 0.5923]"
"[0.5731, 0.9675]","[0.368, 0.887]","[0.1762, 0.7673]","[-0.0123, 0.6857]","[-0.1714, 0.6531]","[0.341, 0.4287]","[0.3259, 0.1719]","[0.3239, 0.0301]","[0.3261, -0.0932]","[0.4827, 0.4344]","[0.5051, 0.2962]","[0.5222, 0.4838]","[0.5277, 0.6214]","[0.6201, 0.4773]","[0.6502, 0.3573]","[0.6433, 0.5183]","[0.6205, 0.637]","[0.7433, 0.5384]","[0.7823, 0.4194]","[0.7522, 0.5107]","[0.7187, 0.5882]"
"[0.5843, 0.9886]","[0.374, 0.887]","[0.1808, 0.7641]","[-0.0216, 0.6893]","[-0.1928, 0.67]","[0.3453, 0.4349]","[0.3276, 0.1867]","[0.3214, 0.047]","[0.3182, -0.0763]","[0.4844, 0.4395]","[0.506, 0.3068]","[0.5177, 0.4924]","[0.522, 0.629]","[0.6223, 0.4825]","[0.6471, 0.3605]","[0.6384, 0.5256]","[0.6177, 0.648]","[0.7404, 0.546]","[0.7766, 0.429]","[0.7429, 0.5257]","[0.7142, 0.6073]"
"[0.5738, 0.9788]","[0.3683, 0.8883]","[0.1707, 0.7645]","[-0.0326, 0.6889]","[-0.2032, 0.662]","[0.3392, 0.431]","[0.3255, 0.1732]","[0.3177, 0.0252]","[0.314, -0.1043]","[0.4829, 0.437]","[0.5047, 0.3005]","[0.5189, 0.492]","[0.5246, 0.6333]","[0.6213, 0.4806]","[0.65, 0.3611]","[0.6411, 0.5243]","[0.6165, 0.6483]","[0.7413, 0.5422]","[0.7799, 0.4269]","[0.7489, 0.5218]","[0.7155, 0.6041]"
"[0.58, 0.9885]","[0.373, 0.8931]","[0.172, 0.7639]","[-0.0451, 0.6953]","[-0.2246, 0.6838]","[0.3386, 0.4341]","[0.3238, 0.1687]","[0.3215, 0.0157]","[0.324, -0.1165]","[0.4794, 0.4389]","[0.5057, 0.3079]","[0.522, 0.4985]","[0.528, 0.6363]","[0.6182, 0.4809]","[0.6488, 0.3607]","[0.6405, 0.5297]","[0.6162, 0.654]","[0.739, 0.5434]","[0.7789, 0.4293]","[0.7464, 0.5286]","[0.7119, 0.6116]"
"[0.575, 0.9863]","[0.3707, 0.8966]","[0.1731, 0.7684]","[-0.0314, 0.695]","[-0.2018, 0.6736]","[0.3358, 0.4377]","[0.3223, 0.1763]","[0.3196, 0.032]","[0.3205, -0.0946]","[0.4802, 0.4415]","[0.5062, 0.3083]","[0.5228, 0.4975]","[0.5278, 0.6362]","[0.6199, 0.4829]","[0.6502, 0.362]","[0.6422, 0.5317]","[0.6183, 0.6569]","[0.7433, 0.5464]","[0.7875, 0.4298]","[0.7549, 0.5278]","[0.7169, 0.6127]"
