[0.6158, 0.8964],[0.4262, 0.8549],[0.2429, 0.7434],[0.0798, 0.6898],[-0.0535, 0.668],[0.4063, 0.4385],[0.3933, 0.2397],[0.3823, 0.1026],[0.3766, 0.0006],[0.5304, 0.4445],[0.5305, 0.3063],[0.5135, 0.4781],[0.5104, 0.5976],[0.6512, 0.4896],[0.6459, 0.3868],[0.6178, 0.5333],[0.6, 0.622],[0.7622, 0.5609],[0.7582, 0.4592],[0.7142, 0.5546],[0.6859, 0.6191]
[0.6198, 0.908],[0.4179, 0.8439],[0.2295, 0.72],[0.0513, 0.6668],[-0.0984, 0.6573],[0.3963, 0.4101],[0.3929, 0.1807],[0.3922, 0.036],[0.3984, -0.0859],[0.5235, 0.4268],[0.5202, 0.2938],[0.503, 0.4716],[0.5036, 0.5938],[0.6475, 0.4801],[0.6439, 0.3918],[0.6106, 0.5503],[0.5903, 0.6441],[0.7652, 0.5543],[0.7594, 0.4647],[0.7085, 0.5702],[0.6758, 0.6375]
[0.6206, 0.9162],[0.4163, 0.8438],[0.2235, 0.7263],[0.0389, 0.6697],[-0.1094, 0.6602],[0.3898, 0.4153],[0.3824, 0.1827],[0.378, 0.0414],[0.3791, -0.0771],[0.5197, 0.429],[0.5173, 0.2948],[0.5038, 0.47],[0.5045, 0.5955],[0.6433, 0.479],[0.6407, 0.4033],[0.6117, 0.5631],[0.5938, 0.658],[0.76, 0.5476],[0.7576, 0.4722],[0.7087, 0.5745],[0.677, 0.6381]
[0.6126, 0.915],[0.4098, 0.8429],[0.2184, 0.7267],[0.0394, 0.6738],[-0.1058, 0.663],[0.3864, 0.4132],[0.3793, 0.1791],[0.3774, 0.0371],[0.3809, -0.0834],[0.5178, 0.4282],[0.5126, 0.2969],[0.497, 0.4776],[0.4979, 0.6102],[0.6412, 0.4801],[0.634, 0.4094],[0.604, 0.5711],[0.5885, 0.6697],[0.7591, 0.5495],[0.7511, 0.4765],[0.7022, 0.5788],[0.6723, 0.644]
[0.6107, 0.918],[0.4105, 0.8454],[0.2196, 0.7282],[0.0358, 0.6738],[-0.113, 0.6643],[0.3843, 0.413],[0.3797, 0.1787],[0.3797, 0.0345],[0.3849, -0.0862],[0.5153, 0.4278],[0.5107, 0.2961],[0.4957, 0.4745],[0.496, 0.6061],[0.6386, 0.4794],[0.6323, 0.4093],[0.601, 0.5714],[0.5824, 0.6707],[0.756, 0.5487],[0.7502, 0.4764],[0.7011, 0.5797],[0.6688, 0.6463]
[0.6073, 0.9164],[0.4081, 0.845],[0.2189, 0.7282],[0.0355, 0.6743],[-0.1127, 0.6646],[0.3821, 0.4137],[0.375, 0.1749],[0.3756, 0.0299],[0.3831, -0.0921],[0.5126, 0.4288],[0.5087, 0.2932],[0.4944, 0.4704],[0.496, 0.6028],[0.6356, 0.4795],[0.6306, 0.407],[0.6004, 0.5709],[0.5831, 0.6723],[0.7532, 0.5476],[0.747, 0.4749],[0.6981, 0.5805],[0.6655, 0.6502]
[0.6031, 0.9189],[0.3995, 0.8435],[0.2107, 0.7272],[0.0264, 0.6739],[-0.1243, 0.6701],[0.3778, 0.4118],[0.3712, 0.1656],[0.372, 0.0128],[0.3782, -0.1157],[0.508, 0.4287],[0.5022, 0.2947],[0.4873, 0.472],[0.4895, 0.6064],[0.631, 0.4807],[0.6209, 0.4095],[0.5905, 0.5738],[0.5746, 0.6792],[0.7481, 0.549],[0.735, 0.475],[0.6873, 0.581],[0.6587, 0.6541]
[0.6021, 0.9221],[0.4006, 0.8439],[0.2113, 0.7282],[0.0255, 0.6757],[-0.1262, 0.6691],[0.3777, 0.4157],[0.3701, 0.1751],[0.3666, 0.0305],[0.3671, -0.09],[0.5078, 0.4315],[0.501, 0.2981],[0.4883, 0.4747],[0.4915, 0.611],[0.6298, 0.4819],[0.6216, 0.4144],[0.5912, 0.5779],[0.575, 0.6829],[0.7458, 0.5482],[0.7378, 0.4753],[0.6896, 0.5796],[0.6594, 0.6515]
[0.5978, 0.924],[0.3946, 0.8469],[0.2024, 0.7285],[0.017, 0.6744],[-0.1326, 0.669],[0.3706, 0.4156],[0.3629, 0.172],[0.3613, 0.0234],[0.3655, -0.1017],[0.5004, 0.43],[0.4925, 0.2943],[0.4776, 0.4714],[0.4808, 0.6076],[0.6225, 0.4801],[0.613, 0.4117],[0.5822, 0.5766],[0.567, 0.6828],[0.7387, 0.5465],[0.7268, 0.4746],[0.6787, 0.5821],[0.651, 0.6558]
[0.5946, 0.9193],[0.3948, 0.8472],[0.2013, 0.7308],[0.0122, 0.6787],[-0.141, 0.671],[0.367, 0.4104],[0.3565, 0.1672],[0.3529, 0.0221],[0.3548, -0.0973],[0.4987, 0.4259],[0.4956, 0.2986],[0.4798, 0.4763],[0.4795, 0.6128],[0.6219, 0.4777],[0.6152, 0.414],[0.583, 0.5775],[0.5647, 0.6818],[0.7388, 0.546],[0.7311, 0.4777],[0.6815, 0.5838],[0.6493, 0.656]
[0.5964, 0.9171],[0.3938, 0.8463],[0.2026, 0.7324],[0.0172, 0.6799],[-0.1341, 0.6741],[0.3665, 0.4133],[0.3554, 0.1712],[0.35, 0.0304],[0.3496, -0.0863],[0.4984, 0.4287],[0.4963, 0.3028],[0.484, 0.4796],[0.4854, 0.6134],[0.6215, 0.4798],[0.6166, 0.4121],[0.5871, 0.574],[0.57, 0.6752],[0.7374, 0.547],[0.7312, 0.4763],[0.6836, 0.5814],[0.6529, 0.651]
