[0.6032, 0.9311],[0.4057, 0.8804],[0.2317, 0.7773],[0.0759, 0.7244],[-0.0542, 0.7016],[0.3832, 0.4476],[0.3522, 0.2071],[0.3368, 0.0649],[0.3322, -0.049],[0.5113, 0.4496],[0.5474, 0.2954],[0.5616, 0.4478],[0.5653, 0.5757],[0.6323, 0.4871],[0.6655, 0.3651],[0.6674, 0.5095],[0.6549, 0.6174],[0.7427, 0.544],[0.7784, 0.4284],[0.7639, 0.5238],[0.7382, 0.6157]
[0.5803, 0.9457],[0.3957, 0.8733],[0.2142, 0.7526],[0.026, 0.6919],[-0.1375, 0.6856],[0.37, 0.4302],[0.3431, 0.2023],[0.3276, 0.0678],[0.323, -0.0495],[0.5021, 0.4399],[0.5381, 0.2801],[0.5426, 0.4555],[0.5415, 0.5851],[0.6258, 0.4882],[0.6661, 0.3675],[0.6484, 0.5203],[0.6214, 0.6327],[0.7365, 0.5544],[0.7737, 0.4411],[0.7445, 0.536],[0.7081, 0.6189]
[0.578, 0.9434],[0.3963, 0.8754],[0.2171, 0.7583],[0.0375, 0.698],[-0.1139, 0.6922],[0.3668, 0.4332],[0.3414, 0.198],[0.3332, 0.0602],[0.3359, -0.0601],[0.5008, 0.4389],[0.531, 0.2839],[0.5377, 0.4535],[0.5383, 0.5853],[0.6272, 0.4842],[0.6629, 0.3665],[0.6489, 0.5164],[0.6231, 0.6299],[0.7425, 0.5487],[0.7812, 0.4453],[0.7508, 0.533],[0.7107, 0.6108]
[0.5777, 0.938],[0.3979, 0.8748],[0.2213, 0.762],[0.041, 0.7032],[-0.1115, 0.7007],[0.3703, 0.4338],[0.3439, 0.1998],[0.3366, 0.0638],[0.3409, -0.0552],[0.5037, 0.4402],[0.5369, 0.2795],[0.5395, 0.4525],[0.5373, 0.5854],[0.6282, 0.4871],[0.6649, 0.3692],[0.6483, 0.5195],[0.6222, 0.632],[0.7409, 0.5514],[0.7768, 0.4446],[0.7463, 0.5348],[0.7078, 0.6142]
[0.5828, 0.9452],[0.4028, 0.8788],[0.2279, 0.7645],[0.0526, 0.7032],[-0.0985, 0.6996],[0.3701, 0.4396],[0.3432, 0.2078],[0.3352, 0.0732],[0.339, -0.0442],[0.5032, 0.4457],[0.5364, 0.2829],[0.5399, 0.4552],[0.5381, 0.5874],[0.6281, 0.4914],[0.6652, 0.3687],[0.6495, 0.5198],[0.6239, 0.634],[0.7423, 0.555],[0.7794, 0.446],[0.7494, 0.5352],[0.7113, 0.6151]
[0.5821, 0.9442],[0.396, 0.8747],[0.2141, 0.7527],[0.0274, 0.6921],[-0.133, 0.6865],[0.3701, 0.4351],[0.3418, 0.2042],[0.3323, 0.0719],[0.3337, -0.0444],[0.5025, 0.4428],[0.5396, 0.2798],[0.5402, 0.454],[0.5344, 0.585],[0.6268, 0.4898],[0.6663, 0.368],[0.6482, 0.519],[0.6208, 0.6312],[0.7384, 0.5547],[0.7743, 0.4436],[0.7451, 0.5349],[0.7095, 0.6154]
[0.5814, 0.9472],[0.3981, 0.8782],[0.2192, 0.7622],[0.0332, 0.7013],[-0.1246, 0.6956],[0.3665, 0.4378],[0.3446, 0.2008],[0.3397, 0.061],[0.3471, -0.0635],[0.5007, 0.4437],[0.5328, 0.2845],[0.536, 0.4548],[0.5342, 0.586],[0.6271, 0.4886],[0.664, 0.3707],[0.6457, 0.5209],[0.6168, 0.6345],[0.7418, 0.5521],[0.78, 0.4461],[0.7472, 0.5358],[0.7042, 0.6165]
[0.5799, 0.9509],[0.3968, 0.8787],[0.2156, 0.7604],[0.0279, 0.7002],[-0.1307, 0.6919],[0.3667, 0.4406],[0.3448, 0.2069],[0.3369, 0.0685],[0.34, -0.0542],[0.4996, 0.4469],[0.5337, 0.2846],[0.5363, 0.4517],[0.5345, 0.582],[0.6247, 0.4924],[0.6622, 0.3713],[0.6448, 0.516],[0.6186, 0.6292],[0.7375, 0.5565],[0.7745, 0.4446],[0.7426, 0.5304],[0.7031, 0.6125]
[0.5816, 0.9497],[0.3983, 0.8787],[0.2093, 0.7547],[0.0139, 0.6944],[-0.1483, 0.6879],[0.363, 0.4384],[0.3399, 0.2039],[0.3299, 0.0664],[0.3294, -0.0541],[0.4966, 0.4421],[0.5287, 0.2846],[0.5355, 0.4533],[0.5356, 0.5834],[0.6234, 0.4852],[0.6604, 0.3668],[0.6473, 0.5154],[0.6228, 0.6284],[0.7386, 0.5481],[0.7736, 0.4442],[0.7454, 0.5324],[0.709, 0.6115]
[0.5739, 0.9402],[0.3924, 0.8694],[0.2084, 0.7531],[0.0149, 0.6959],[-0.1452, 0.6881],[0.3592, 0.4306],[0.336, 0.1922],[0.3287, 0.054],[0.3323, -0.0664],[0.4947, 0.4375],[0.5314, 0.283],[0.5336, 0.4479],[0.5286, 0.5768],[0.6216, 0.4822],[0.6606, 0.3668],[0.6424, 0.5118],[0.6119, 0.6221],[0.7354, 0.5451],[0.7725, 0.4424],[0.7409, 0.5306],[0.6997, 0.6085]
[0.5758, 0.9441],[0.3931, 0.871],[0.2135, 0.7573],[0.025, 0.6972],[-0.1326, 0.6888],[0.3614, 0.433],[0.3406, 0.191],[0.3349, 0.0477],[0.3393, -0.0788],[0.4972, 0.4406],[0.5299, 0.2837],[0.5345, 0.4503],[0.532, 0.5841],[0.6234, 0.4855],[0.658, 0.3696],[0.6425, 0.5175],[0.6142, 0.6325],[0.7365, 0.5475],[0.7724, 0.4438],[0.7412, 0.5328],[0.7005, 0.6135]
