"[0.637, 0.8581]","[0.4471, 0.8363]","[0.2615, 0.7312]","[0.1156, 0.6662]","[-0.0038, 0.6367]","[0.3975, 0.4486]","[0.3716, 0.2333]","[0.3696, 0.1014]","[0.3723, -0.0064]","[0.5128, 0.4456]","[0.5194, 0.3294]","[0.5239, 0.4801]","[0.5261, 0.5998]","[0.6246, 0.472]","[0.6231, 0.382]","[0.6173, 0.5255]","[0.6069, 0.623]","[0.7307, 0.5205]","[0.7359, 0.4191]","[0.7164, 0.517]","[0.699, 0.595]"
"[0.6445, 0.8912]","[0.4507, 0.8311]","[0.2668, 0.7283]","[0.0998, 0.6602]","[-0.0316, 0.6313]","[0.3905, 0.4398]","[0.3724, 0.226]","[0.3691, 0.0986]","[0.3685, -0.0101]","[0.5106, 0.4408]","[0.5179, 0.3289]","[0.5342, 0.4854]","[0.5424, 0.604]","[0.6271, 0.4693]","[0.6325, 0.3845]","[0.629, 0.5276]","[0.6157, 0.6314]","[0.7346, 0.5159]","[0.7414, 0.4266]","[0.7177, 0.5218]","[0.6968, 0.597]"
"[0.6465, 0.8938]","[0.4511, 0.8325]","[0.266, 0.7305]","[0.0919, 0.662]","[-0.0431, 0.6379]","[0.3874, 0.4359]","[0.3672, 0.2111]","[0.3619, 0.0797]","[0.3599, -0.0372]","[0.5091, 0.4382]","[0.5153, 0.3332]","[0.5288, 0.4942]","[0.536, 0.6071]","[0.6264, 0.4681]","[0.6326, 0.3903]","[0.6241, 0.5387]","[0.6094, 0.6388]","[0.7363, 0.5142]","[0.7437, 0.4229]","[0.7181, 0.522]","[0.6974, 0.5981]"
"[0.6507, 0.9033]","[0.4575, 0.8379]","[0.2712, 0.7331]","[0.0918, 0.6631]","[-0.0417, 0.639]","[0.3908, 0.442]","[0.3695, 0.2182]","[0.3625, 0.0889]","[0.3575, -0.0259]","[0.5113, 0.4422]","[0.5147, 0.3382]","[0.5291, 0.5003]","[0.5376, 0.6103]","[0.6273, 0.47]","[0.6327, 0.3927]","[0.624, 0.5462]","[0.6127, 0.6446]","[0.7356, 0.515]","[0.744, 0.4228]","[0.7166, 0.5267]","[0.6979, 0.6027]"
"[0.6484, 0.9048]","[0.4594, 0.8408]","[0.2728, 0.7335]","[0.0937, 0.6659]","[-0.0426, 0.6426]","[0.3893, 0.4413]","[0.3704, 0.216]","[0.3653, 0.0846]","[0.3634, -0.0328]","[0.5111, 0.4422]","[0.5217, 0.3383]","[0.5317, 0.5016]","[0.5352, 0.6106]","[0.628, 0.47]","[0.6388, 0.3959]","[0.6263, 0.5482]","[0.6101, 0.6427]","[0.7371, 0.5143]","[0.7496, 0.4252]","[0.7217, 0.5275]","[0.7002, 0.5987]"
"[0.6459, 0.9049]","[0.455, 0.8373]","[0.2686, 0.7317]","[0.0892, 0.6636]","[-0.0449, 0.6422]","[0.3905, 0.4407]","[0.3682, 0.2189]","[0.3591, 0.0889]","[0.3526, -0.0268]","[0.511, 0.4417]","[0.5114, 0.3409]","[0.5246, 0.5039]","[0.5323, 0.6142]","[0.6273, 0.4709]","[0.6286, 0.3965]","[0.6191, 0.5488]","[0.6063, 0.6449]","[0.7355, 0.5166]","[0.7405, 0.426]","[0.7132, 0.5277]","[0.6957, 0.5997]"
"[0.6437, 0.9043]","[0.4533, 0.8397]","[0.2689, 0.732]","[0.0906, 0.6639]","[-0.0445, 0.6409]","[0.389, 0.4422]","[0.3685, 0.2224]","[0.3617, 0.093]","[0.3578, -0.0226]","[0.5106, 0.4433]","[0.517, 0.3418]","[0.5267, 0.5037]","[0.5309, 0.6137]","[0.6284, 0.4719]","[0.6342, 0.3969]","[0.6217, 0.547]","[0.6062, 0.6416]","[0.739, 0.5167]","[0.748, 0.4262]","[0.719, 0.5259]","[0.698, 0.596]"
"[0.6446, 0.9014]","[0.4534, 0.8402]","[0.2671, 0.7305]","[0.0949, 0.6643]","[-0.0392, 0.6421]","[0.3926, 0.4433]","[0.3716, 0.2205]","[0.3634, 0.0898]","[0.3581, -0.0242]","[0.5147, 0.4459]","[0.5205, 0.3419]","[0.5303, 0.5008]","[0.535, 0.614]","[0.6328, 0.475]","[0.6382, 0.401]","[0.6273, 0.5478]","[0.6131, 0.645]","[0.7458, 0.519]","[0.753, 0.4256]","[0.7259, 0.5225]","[0.7044, 0.5962]"
"[0.6461, 0.8996]","[0.457, 0.8407]","[0.2735, 0.735]","[0.1035, 0.6672]","[-0.026, 0.6419]","[0.3934, 0.4452]","[0.3716, 0.2233]","[0.3629, 0.0938]","[0.3565, -0.0193]","[0.5146, 0.4473]","[0.5187, 0.3443]","[0.5315, 0.5011]","[0.5366, 0.6113]","[0.6321, 0.4755]","[0.6374, 0.4046]","[0.6289, 0.5513]","[0.6142, 0.6459]","[0.7443, 0.519]","[0.7525, 0.4282]","[0.7256, 0.5262]","[0.7035, 0.5987]"
"[0.6497, 0.8973]","[0.4589, 0.8366]","[0.2762, 0.7374]","[0.1033, 0.6696]","[-0.0268, 0.6431]","[0.3948, 0.4451]","[0.3725, 0.2225]","[0.3647, 0.0918]","[0.3595, -0.0231]","[0.5154, 0.446]","[0.5176, 0.3453]","[0.5324, 0.5007]","[0.5386, 0.6093]","[0.6325, 0.4733]","[0.6363, 0.4003]","[0.6294, 0.5451]","[0.6152, 0.6397]","[0.7428, 0.5167]","[0.7492, 0.4274]","[0.7227, 0.527]","[0.7019, 0.6006]"
"[0.6466, 0.8999]","[0.4565, 0.8404]","[0.2717, 0.738]","[0.1, 0.6695]","[-0.0324, 0.6418]","[0.3897, 0.4483]","[0.3688, 0.2228]","[0.3606, 0.0898]","[0.3568, -0.0266]","[0.5121, 0.4501]","[0.5168, 0.3445]","[0.5294, 0.4985]","[0.536, 0.6115]","[0.6299, 0.4782]","[0.6353, 0.403]","[0.6265, 0.5484]","[0.6127, 0.6481]","[0.7412, 0.5218]","[0.7485, 0.4268]","[0.7225, 0.5245]","[0.7015, 0.6025]"
