"[0.5345, 0.9457]","[0.3989, 0.9039]","[0.3189, 0.7461]","[0.3645, 0.5941]","[0.4536, 0.4927]","[0.4225, 0.5482]","[0.4245, 0.3357]","[0.4353, 0.1949]","[0.4501, 0.077]","[0.5176, 0.5457]","[0.4962, 0.2894]","[0.4643, 0.1333]","[0.4455, -0.0035]","[0.6165, 0.5836]","[0.6026, 0.406]","[0.5395, 0.5181]","[0.5046, 0.622]","[0.7169, 0.6536]","[0.6784, 0.528]","[0.61, 0.6004]","[0.5624, 0.6836]"
"[0.5458, 1.0314]","[0.3893, 0.9268]","[0.3195, 0.76]","[0.3708, 0.6044]","[0.4543, 0.4925]","[0.4199, 0.5724]","[0.4188, 0.3573]","[0.4362, 0.2233]","[0.4597, 0.1049]","[0.5165, 0.5626]","[0.4967, 0.305]","[0.4744, 0.158]","[0.4647, 0.0282]","[0.6168, 0.5975]","[0.6044, 0.4059]","[0.5394, 0.5253]","[0.5, 0.6395]","[0.7188, 0.6677]","[0.6886, 0.5244]","[0.6142, 0.5929]","[0.5554, 0.6805]"
"[0.549, 1.051]","[0.3875, 0.925]","[0.3176, 0.7594]","[0.375, 0.5959]","[0.465, 0.4798]","[0.4155, 0.5629]","[0.4178, 0.3521]","[0.4359, 0.2208]","[0.4623, 0.1029]","[0.5118, 0.5558]","[0.491, 0.2996]","[0.4699, 0.1522]","[0.4643, 0.0217]","[0.6113, 0.5929]","[0.6104, 0.4081]","[0.5426, 0.5312]","[0.4984, 0.6464]","[0.7132, 0.6635]","[0.6889, 0.524]","[0.6193, 0.5994]","[0.5634, 0.6872]"
"[0.5505, 1.0575]","[0.3881, 0.9201]","[0.3199, 0.7522]","[0.3797, 0.5901]","[0.4739, 0.4796]","[0.4173, 0.5587]","[0.4224, 0.3421]","[0.4415, 0.2084]","[0.4676, 0.0903]","[0.5118, 0.5559]","[0.4944, 0.3007]","[0.4747, 0.1577]","[0.4687, 0.0337]","[0.6103, 0.5944]","[0.6148, 0.4089]","[0.5438, 0.5282]","[0.4945, 0.6433]","[0.7119, 0.6649]","[0.6911, 0.5275]","[0.619, 0.5976]","[0.5587, 0.6824]"
"[0.547, 1.0526]","[0.3877, 0.9133]","[0.3214, 0.7481]","[0.3792, 0.5911]","[0.4719, 0.4834]","[0.4201, 0.5501]","[0.4249, 0.3332]","[0.4421, 0.199]","[0.4652, 0.0806]","[0.5153, 0.5491]","[0.4982, 0.292]","[0.4765, 0.1483]","[0.4663, 0.0224]","[0.6153, 0.5901]","[0.6138, 0.4106]","[0.5431, 0.5312]","[0.4938, 0.6441]","[0.718, 0.6645]","[0.6938, 0.5292]","[0.6229, 0.6032]","[0.5652, 0.6886]"
"[0.5543, 1.0531]","[0.3888, 0.9223]","[0.3182, 0.7551]","[0.3781, 0.596]","[0.4691, 0.4829]","[0.4143, 0.5467]","[0.423, 0.3373]","[0.443, 0.2051]","[0.4677, 0.0859]","[0.5116, 0.5419]","[0.4913, 0.2825]","[0.4653, 0.1281]","[0.4521, -0.0104]","[0.6128, 0.5833]","[0.612, 0.4124]","[0.5437, 0.5358]","[0.4966, 0.6486]","[0.7155, 0.6604]","[0.6917, 0.5313]","[0.6214, 0.6067]","[0.565, 0.6912]"
"[0.561, 1.0544]","[0.3963, 0.9189]","[0.3266, 0.7529]","[0.3828, 0.5922]","[0.4731, 0.4776]","[0.4203, 0.5521]","[0.4243, 0.3348]","[0.4398, 0.2005]","[0.4605, 0.0804]","[0.5168, 0.5514]","[0.4989, 0.2942]","[0.478, 0.1449]","[0.4679, 0.0116]","[0.6168, 0.5903]","[0.6151, 0.4221]","[0.5429, 0.5411]","[0.4916, 0.6529]","[0.7181, 0.6612]","[0.6919, 0.5344]","[0.6189, 0.6061]","[0.5589, 0.6907]"
"[0.5588, 1.0457]","[0.3938, 0.9177]","[0.324, 0.7497]","[0.3861, 0.59]","[0.479, 0.4799]","[0.4167, 0.5506]","[0.423, 0.3335]","[0.4404, 0.1979]","[0.4634, 0.0778]","[0.5138, 0.5486]","[0.4945, 0.2848]","[0.4688, 0.1301]","[0.4563, -0.0076]","[0.6155, 0.5877]","[0.6145, 0.4191]","[0.5441, 0.5425]","[0.4963, 0.6547]","[0.7175, 0.6585]","[0.6902, 0.5303]","[0.6214, 0.6063]","[0.5672, 0.6911]"
"[0.5581, 1.0466]","[0.3911, 0.9144]","[0.323, 0.7493]","[0.3854, 0.5881]","[0.4757, 0.4776]","[0.4163, 0.5535]","[0.4241, 0.3389]","[0.4415, 0.2063]","[0.463, 0.0879]","[0.5123, 0.5517]","[0.4957, 0.2956]","[0.4764, 0.1458]","[0.4685, 0.0127]","[0.612, 0.5899]","[0.6136, 0.4184]","[0.5462, 0.538]","[0.4982, 0.6502]","[0.7138, 0.6599]","[0.6905, 0.53]","[0.6194, 0.6029]","[0.5596, 0.689]"
"[0.5605, 1.043]","[0.3944, 0.9183]","[0.3247, 0.7497]","[0.3854, 0.5892]","[0.4765, 0.4818]","[0.4169, 0.5523]","[0.4242, 0.3386]","[0.4424, 0.2068]","[0.464, 0.0897]","[0.5128, 0.5506]","[0.4989, 0.2949]","[0.4803, 0.1506]","[0.4715, 0.0235]","[0.6123, 0.5895]","[0.6126, 0.414]","[0.5451, 0.5362]","[0.4978, 0.6492]","[0.7136, 0.6599]","[0.6897, 0.528]","[0.622, 0.6005]","[0.5665, 0.6845]"
"[0.5614, 1.038]","[0.3952, 0.9177]","[0.3257, 0.7507]","[0.3833, 0.5924]","[0.471, 0.4836]","[0.4172, 0.5497]","[0.424, 0.3389]","[0.4419, 0.208]","[0.4627, 0.0913]","[0.5129, 0.5472]","[0.4978, 0.2911]","[0.4772, 0.145]","[0.4657, 0.0168]","[0.6129, 0.5864]","[0.6094, 0.4124]","[0.5442, 0.5331]","[0.4991, 0.6448]","[0.7145, 0.6575]","[0.6886, 0.5257]","[0.6204, 0.5984]","[0.5646, 0.683]"
