[1.0, 0.8751],[0.9293, 0.7567],[0.8734, 0.5612],[0.9155, 0.3883],[0.935, 0.2461],[0.7979, 0.4622],[0.7539, 0.2274],[0.7345, 0.0722],[0.7225, 0.0],[0.9343, 0.4625],[1.0, 0.2369],[1.0, 0.0775],[1.0, 0.0],[1.0, 0.5078],[1.0, 0.4201],[1.0, 0.5735],[1.0, 0.6793],[1.0, 0.5689],[1.0, 0.5011],[1.0, 0.611],[1.0, 0.6909]
[1.0, 0.955],[0.9312, 0.7627],[0.8866, 0.5513],[0.9174, 0.3816],[0.9406, 0.2362],[0.7879, 0.4551],[0.7483, 0.2214],[0.7213, 0.0739],[0.703, 0.0],[0.9167, 0.4685],[1.0, 0.2451],[1.0, 0.0835],[1.0, 0.0],[1.0, 0.5262],[1.0, 0.43],[1.0, 0.5824],[1.0, 0.686],[1.0, 0.5895],[1.0, 0.5028],[1.0, 0.6149],[1.0, 0.6955]
[1.0, 0.9823],[0.9287, 0.7765],[0.8859, 0.5622],[0.9098, 0.3865],[0.935, 0.2348],[0.786, 0.4622],[0.7502, 0.2182],[0.7244, 0.0697],[0.7112, 0.0],[0.9193, 0.4756],[0.9991, 0.2504],[1.0, 0.0853],[1.0, 0.0],[1.0, 0.529],[1.0, 0.4257],[1.0, 0.5636],[1.0, 0.6662],[1.0, 0.5788],[1.0, 0.5021],[1.0, 0.6022],[1.0, 0.6775]
[1.0, 0.9713],[0.9281, 0.7599],[0.8853, 0.552],[0.9149, 0.3801],[0.9457, 0.2285],[0.7835, 0.453],[0.7477, 0.2129],[0.7269, 0.0672],[0.715, 0.0],[0.918, 0.4661],[0.9909, 0.244],[1.0, 0.0824],[1.0, 0.0],[1.0, 0.5219],[1.0, 0.4307],[1.0, 0.5633],[1.0, 0.6612],[1.0, 0.5771],[1.0, 0.5074],[1.0, 0.6047],[1.0, 0.6807]
[1.0, 0.9752],[0.9362, 0.7669],[0.891, 0.5552],[0.9136, 0.384],[0.9337, 0.2338],[0.7829, 0.4576],[0.7514, 0.2111],[0.7319, 0.0648],[0.72, 0.0],[0.9149, 0.4728],[0.9947, 0.2486],[1.0, 0.0846],[1.0, 0.0],[1.0, 0.5248],[1.0, 0.4353],[1.0, 0.5707],[1.0, 0.6687],[1.0, 0.5704],[1.0, 0.5035],[1.0, 0.6032],[1.0, 0.6764]
[1.0, 0.9844],[0.9394, 0.7705],[0.896, 0.5552],[0.9155, 0.3847],[0.9387, 0.238],[0.7854, 0.4611],[0.7552, 0.215],[0.7345, 0.0704],[0.7213, 0.0],[0.9142, 0.4738],[0.9947, 0.2479],[1.0, 0.0842],[1.0, 0.0],[1.0, 0.5237],[1.0, 0.4321],[1.0, 0.5686],[1.0, 0.6687],[1.0, 0.5675],[1.0, 0.4986],[1.0, 0.5997],[1.0, 0.6761]
[1.0, 0.9837],[0.9318, 0.7662],[0.8903, 0.547],[0.9167, 0.3773],[0.9469, 0.2316],[0.7847, 0.4526],[0.7521, 0.2083],[0.7313, 0.064],[0.7194, 0.0],[0.9174, 0.4689],[0.9928, 0.249],[1.0, 0.0867],[1.0, 0.0],[1.0, 0.5248],[1.0, 0.4328],[1.0, 0.5686],[1.0, 0.669],[1.0, 0.5746],[1.0, 0.5035],[1.0, 0.6032],[1.0, 0.6803]
[1.0, 0.9756],[0.9312, 0.7606],[0.891, 0.541],[0.9224, 0.3713],[0.9551, 0.2295],[0.7898, 0.448],[0.7546, 0.2069],[0.7326, 0.0648],[0.7187, 0.0],[0.9199, 0.4646],[0.9934, 0.2475],[1.0, 0.0867],[1.0, 0.0],[1.0, 0.5209],[1.0, 0.4349],[1.0, 0.5693],[1.0, 0.6672],[1.0, 0.5707],[1.0, 0.5035],[1.0, 0.6025],[1.0, 0.6764]
[1.0, 0.9819],[0.9325, 0.7698],[0.8885, 0.5516],[0.9174, 0.3784],[0.9482, 0.2341],[0.7885, 0.453],[0.7533, 0.2154],[0.7301, 0.0739],[0.7137, 0.0],[0.9193, 0.4657],[0.9953, 0.2493],[1.0, 0.0891],[1.0, 0.0],[1.0, 0.5212],[1.0, 0.4335],[1.0, 0.5718],[1.0, 0.6736],[1.0, 0.5771],[1.0, 0.5057],[1.0, 0.6064],[1.0, 0.6835]
[1.0, 0.9748],[0.9312, 0.768],[0.8853, 0.552],[0.9167, 0.3801],[0.9501, 0.2366],[0.786, 0.4487],[0.7508, 0.2118],[0.7294, 0.0697],[0.715, 0.0],[0.9193, 0.4618],[0.9922, 0.2461],[1.0, 0.0874],[1.0, 0.0],[1.0, 0.5177],[1.0, 0.4311],[1.0, 0.5665],[1.0, 0.669],[1.0, 0.5764],[1.0, 0.5025],[1.0, 0.6022],[1.0, 0.6824]
[1.0, 0.9756],[0.9318, 0.7733],[0.8841, 0.5562],[0.9149, 0.3801],[0.9475, 0.2352],[0.7854, 0.4512],[0.7495, 0.2118],[0.7288, 0.0693],[0.7131, 0.0],[0.9193, 0.4632],[0.9934, 0.2461],[1.0, 0.0881],[1.0, 0.0],[1.0, 0.5184],[1.0, 0.4321],[1.0, 0.5697],[1.0, 0.6711],[1.0, 0.575],[1.0, 0.4993],[1.0, 0.5997],[1.0, 0.6786]
